Figure 4 c,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1,,,Figure 4 f,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
Figure 4 c,0.000972643,-0.168067215,0.000972643,-0.099533323,0.001087312,-0.087820093,0.001087312,-4.944632403,,,Figure 4 f,0.000972643,-0.168067215,0.000972643,-0.099533323,0.001087312,-0.087820093,0.001087312,-4.944632403
Figure 4 c,0.001016415,-0.158355953,0.001016415,-0.090430238,0.001139338,-0.087453039,0.001139338,-4.904064396,,,Figure 4 f,0.001016415,-0.158355953,0.001016415,-0.090430238,0.001139338,-0.087453039,0.001139338,-4.904064396
Figure 4 c,0.001062158,-0.148075775,0.001062158,-0.080845741,0.001193854,-0.086869541,0.001193854,-4.862670328,,,Figure 4 f,0.001062158,-0.148075775,0.001062158,-0.080845741,0.001193854,-0.086869541,0.001193854,-4.862670328
Figure 4 c,0.001109959,-0.137206773,0.001109959,-0.070761942,0.001250977,-0.086124267,0.001250977,-4.820405567,,,Figure 4 f,0.001109959,-0.137206773,0.001109959,-0.070761942,0.001250977,-0.086124267,0.001250977,-4.820405567
Figure 4 c,0.001159912,-0.125729065,0.001159912,-0.060162303,0.001310834,-0.085276913,0.001310834,-4.777205558,,,Figure 4 f,0.001159912,-0.125729065,0.001159912,-0.060162303,0.001310834,-0.085276913,0.001310834,-4.777205558
Figure 4 c,0.001212112,-0.113623196,0.001212112,-0.049030379,0.001373556,-0.084382567,0.001373556,-4.732985991,,,Figure 4 f,0.001212112,-0.113623196,0.001212112,-0.049030379,0.001373556,-0.084382567,0.001373556,-4.732985991
Figure 4 c,0.001266662,-0.100870385,0.001266662,-0.037350167,0.001439278,-0.083502625,0.001439278,-4.687671843,,,Figure 4 f,0.001266662,-0.100870385,0.001266662,-0.037350167,0.001439278,-0.083502625,0.001439278,-4.687671843
Figure 4 c,0.001323666,-0.087453054,0.001323666,-0.025106616,0.001508145,-0.082693059,0.001508145,-4.641144328,,,Figure 4 f,0.001323666,-0.087453054,0.001323666,-0.025106616,0.001508145,-0.082693059,0.001508145,-4.641144328
Figure 4 c,0.001383237,-0.073354272,0.001383237,-0.012285309,0.001580307,-0.08200785,0.001580307,-4.593284672,,,Figure 4 f,0.001383237,-0.073354272,0.001383237,-0.012285309,0.001580307,-0.08200785,0.001580307,-4.593284672
Figure 4 c,0.001445488,-0.058558436,0.001445488,0.001127622,0.001655922,-0.0814993,0.001655922,-4.543969681,,,Figure 4 f,0.001445488,-0.058558436,0.001445488,0.001127622,0.001655922,-0.0814993,0.001655922,-4.543969681
Figure 4 c,0.00151054,-0.043051459,0.00151054,0.015144824335590746,0.001735155,-0.081214096,0.001735155,-4.493044696,,,Figure 4 f,0.00151054,-0.043051459,0.00151054,0.015144824335590746,0.001735155,-0.081214096,0.001735155,-4.493044696
Figure 4 c,0.00157852,-0.026821932,0.00157852,0.029777568859283603,0.001818179,-0.081198923,0.001818179,-4.440337793,,,Figure 4 f,0.00157852,-0.026821932,0.00157852,0.029777568859283603,0.001818179,-0.081198923,0.001818179,-4.440337793
Figure 4 c,0.00164956,-0.009860374,0.00164956,0.045034796,0.001905176,-0.08149408,0.001905176,-4.38567801,,,Figure 4 f,0.00164956,-0.009860374,0.00164956,0.045034796,0.001905176,-0.08149408,0.001905176,-4.38567801
Figure 4 c,0.001723796,0.007840891,0.001723796,0.060924424,0.001996335,-0.08213087,0.001996335,-4.328878742,,,Figure 4 f,0.001723796,0.007840891,0.001723796,0.060924424,0.001996335,-0.08213087,0.001996335,-4.328878742
Figure 4 c,0.001801374,0.026286538582196234,0.001801374,0.077452526,0.002091856,-0.083137004,0.002091856,-4.26974642,,,Figure 4 f,0.001801374,0.026286538582196234,0.001801374,0.077452526,0.002091856,-0.083137004,0.002091856,-4.26974642
Figure 4 c,0.001882442,0.045477919698038556,0.001882442,0.094623277,0.002191948,-0.084534687,0.002191948,-4.208077505,,,Figure 4 f,0.001882442,0.045477919698038556,0.001882442,0.094623277,0.002191948,-0.084534687,0.002191948,-4.208077505
Figure 4 c,0.001967159,0.065413242,0.001967159,0.11243888287068916,0.002296829,-0.086336323,0.002296829,-4.143679293,,,Figure 4 f,0.001967159,0.065413242,0.001967159,0.11243888287068916,0.002296829,-0.086336323,0.002296829,-4.143679293
Figure 4 c,0.002055689,0.086087288,0.002055689,0.13089845466670116,0.002406728,-0.0885443,0.002406728,-4.07634109,,,Figure 4 f,0.002055689,0.086087288,0.002055689,0.13089845466670116,0.002406728,-0.0885443,0.002406728,-4.07634109
Figure 4 c,0.002148203,0.10749146596352493,0.002148203,0.14999769842549432,0.002521886,-0.091151486,0.002521886,-4.005865645,,,Figure 4 f,0.002148203,0.10749146596352493,0.002148203,0.14999769842549432,0.002521886,-0.091151486,0.002521886,-4.005865645
Figure 4 c,0.00224488,0.12961362469237428,0.00224488,0.1697298617617012,0.002642554,-0.094147623,0.002642554,-3.932069399,,,Figure 4 f,0.00224488,0.12961362469237428,0.00224488,0.1697298617617012,0.002642554,-0.094147623,0.002642554,-3.932069399
Figure 4 c,0.002345909,0.1524370306739434,0.002345909,0.19008600803006903,0.002768995,-0.097519345,0.002768995,-3.854796305,,,Figure 4 f,0.002345909,0.1524370306739434,0.002345909,0.19008600803006903,0.002768995,-0.097519345,0.002768995,-3.854796305
Figure 4 c,0.002451484,0.1759397564293734,0.002451484,0.21105457923963952,0.002901487,-0.10123512,0.002901487,-3.773870769,,,Figure 4 f,0.002451484,0.1759397564293734,0.002451484,0.21105457923963952,0.002901487,-0.10123512,0.002901487,-3.773870769
Figure 4 c,0.00256181,0.20009573142873227,0.00256181,0.2326200732071958,0.003040318,-0.105260939,0.003040318,-3.68917002,,,Figure 4 f,0.00256181,0.20009573142873227,0.00256181,0.2326200732071958,0.003040318,-0.105260939,0.003040318,-3.68917002
Figure 4 c,0.002677101,0.22487373934436283,0.002677101,0.254763477,0.003185792,-0.109557302,0.003185792,-3.600608637,,,Figure 4 f,0.002677101,0.22487373934436283,0.002677101,0.254763477,0.003185792,-0.109557302,0.003185792,-3.600608637
Figure 4 c,0.002797581,0.2502377681536485,0.002797581,0.27746193478269165,0.003338226,-0.1140733,0.003338226,-3.508123947,,,Figure 4 f,0.002797581,0.2502377681536485,0.002797581,0.27746193478269165,0.003338226,-0.1140733,0.003338226,-3.508123947
Figure 4 c,0.002923483,0.2761475143721456,0.002923483,0.30068939203657985,0.003497955,-0.118758902,0.003497955,-3.411712427,,,Figure 4 f,0.002923483,0.2761475143721456,0.002923483,0.30068939203657985,0.003497955,-0.118758902,0.003497955,-3.411712427
Figure 4 c,0.003055051,0.30255793038715467,0.003055051,0.3244160983158656,0.003665326,-0.123554605,0.003665326,-3.311399487,,,Figure 4 f,0.003055051,0.30255793038715467,0.003055051,0.3244160983158656,0.003665326,-0.123554605,0.003665326,-3.311399487
Figure 4 c,0.00319254,0.32941882984495074,0.00319254,0.34860797586624676,0.003840705,-0.128403189,0.003840705,-3.207272468,,,Figure 4 f,0.00319254,0.32941882984495074,0.00319254,0.34860797586624676,0.003840705,-0.128403189,0.003840705,-3.207272468
Figure 4 c,0.003336216,0.35667533200264784,0.003336216,0.37322764019204224,0.004024476,-0.133253007,0.004024476,-3.099489403,,,Figure 4 f,0.003336216,0.35667533200264784,0.003336216,0.37322764019204224,0.004024476,-0.133253007,0.004024476,-3.099489403
Figure 4 c,0.003486359,0.3842680362124684,0.003486359,0.39823441690061406,0.004217041,-0.13804186,0.004217041,-2.988257154,,,Figure 4 f,0.003486359,0.3842680362124684,0.003486359,0.39823441690061406,0.004217041,-0.13804186,0.004217041,-2.988257154
Figure 4 c,0.003643258,0.412132893,0.003643258,0.42358188933229207,0.004418819,-0.142709677,0.004418819,-2.873825281,,,Figure 4 f,0.003643258,0.412132893,0.003643258,0.42358188933229207,0.004418819,-0.142709677,0.004418819,-2.873825281
Figure 4 c,0.003807219,0.4402016467449781,0.003807219,0.44921951430350393,0.004630251,-0.147200601,0.004630251,-2.756508944,,,Figure 4 f,0.003807219,0.4402016467449781,0.003807219,0.44921951430350393,0.004630251,-0.147200601,0.004630251,-2.756508944
Figure 4 c,0.003978559,0.46840206012973534,0.003978559,0.4750942303971643,0.004851801,-0.151458723,0.004851801,-2.636691198,,,Figure 4 f,0.003978559,0.46840206012973534,0.003978559,0.4750942303971643,0.004851801,-0.151458723,0.004851801,-2.636691198
Figure 4 c,0.004157609,0.49665850927777905,0.004157609,0.5011489309519063,0.005083951,-0.155437597,0.005083951,-2.514815705,,,Figure 4 f,0.004157609,0.49665850927777905,0.004157609,0.5011489309519063,0.005083951,-0.155437597,0.005083951,-2.514815705
Figure 4 c,0.004344717,0.5248918839699295,0.004344717,0.5273227708438386,0.005327209,-0.159101143,0.005327209,-2.391359721,,,Figure 4 f,0.004344717,0.5248918839699295,0.004344717,0.5273227708438386,0.005327209,-0.159101143,0.005327209,-2.391359721
Figure 4 c,0.004540246,0.553021301,0.004540246,0.5535512042877132,0.005582107,-0.162417522,0.005582107,-2.266889061,,,Figure 4 f,0.004540246,0.553021301,0.004540246,0.5535512042877132,0.005582107,-0.162417522,0.005582107,-2.266889061
Figure 4 c,0.004744575,0.5809640572430064,0.004744575,0.5797654785694478,0.005849201,-0.165360846,0.005849201,-2.141980977,,,Figure 4 f,0.004744575,0.5809640572430064,0.004744575,0.5797654785694478,0.005849201,-0.165360846,0.005849201,-2.141980977
Figure 4 c,0.004958099,0.6086364616163253,0.004958099,0.6058931558466807,0.006129075,-0.167916014,0.006129075,-2.017304702,,,Figure 4 f,0.004958099,0.6086364616163253,0.004958099,0.6058931558466807,0.006129075,-0.167916014,0.006129075,-2.017304702
Figure 4 c,0.005181232,0.635952724,0.005181232,0.6318593613194574,0.006422341,-0.170075142,0.006422341,-1.89354675,,,Figure 4 f,0.005181232,0.635952724,0.005181232,0.6318593613194574,0.006422341,-0.170075142,0.006422341,-1.89354675
Figure 4 c,0.005414408,0.6628268149330088,0.005414408,0.6575863304818846,0.006729639,-0.171842396,0.006729639,-1.771393967,,,Figure 4 f,0.005414408,0.6628268149330088,0.005414408,0.6575863304818846,0.006729639,-0.171842396,0.006729639,-1.771393967
Figure 4 c,0.005658077,0.6891726580444517,0.005658077,0.6829934463664922,0.00705164,-0.173230205,0.00705164,-1.651584939,,,Figure 4 f,0.005658077,0.6891726580444517,0.005658077,0.6829934463664922,0.00705164,-0.173230205,0.00705164,-1.651584939
Figure 4 c,0.005912712,0.7149045455945849,0.005912712,0.7079984303486276,0.007389049,-0.17425002,0.007389049,-1.534840684,,,Figure 4 f,0.005912712,0.7149045455945849,0.005912712,0.7079984303486276,0.007389049,-0.17425002,0.007389049,-1.534840684
Figure 4 c,0.006178807,0.7399401942479633,0.006178807,0.7325176342299379,0.007742602,-0.174930762,0.007742602,-1.421913188,,,Figure 4 f,0.006178807,0.7399401942479633,0.006178807,0.7325176342299379,0.007742602,-0.174930762,0.007742602,-1.421913188
Figure 4 c,0.006456877,0.7641984988608804,0.006456877,0.7564662074043463,0.008113072,-0.175313292,0.008113072,-1.313529863,,,Figure 4 f,0.006456877,0.7641984988608804,0.006456877,0.7564662074043463,0.008113072,-0.175313292,0.008113072,-1.313529863
Figure 4 c,0.006747461,0.7876015849619977,0.006747461,0.7797577148530506,0.008501269,-0.175440931,0.008501269,-1.210433534,,,Figure 4 f,0.006747461,0.7876015849619977,0.006747461,0.7797577148530506,0.008501269,-0.175440931,0.008501269,-1.210433534
Figure 4 c,0.007051123,0.8100746077010881,0.007051123,0.8023058040565713,0.008908039,-0.175364434,0.008908039,-1.113311376,,,Figure 4 f,0.007051123,0.8100746077010881,0.007051123,0.8023058040565713,0.008908039,-0.175364434,0.008908039,-1.113311376
Figure 4 c,0.007368451,0.8315452628388574,0.007368451,0.8240248026142272,0.009334274,-0.175132272,0.009334274,-1.022754491,,,Figure 4 f,0.007368451,0.8315452628388574,0.007368451,0.8240248026142272,0.009334274,-0.175132272,0.009334274,-1.022754491
Figure 4 c,0.007700059,0.8519457179440644,0.007700059,0.8448293609331066,0.009780902,-0.174797476,0.009780902,-0.939341424,,,Figure 4 f,0.007700059,0.8519457179440644,0.007700059,0.8448293609331066,0.009780902,-0.174797476,0.009780902,-0.939341424
Figure 4 c,0.008046591,0.8712123783006869,0.008046591,0.864636931,0.010248901613551036,-0.174419736,0.010248901613551036,-0.863589906,,,Figure 4 f,0.008046591,0.8712123783006869,0.008046591,0.864636931,0.010248901613551036,-0.174419736,0.010248901613551036,-0.863589906
Figure 4 c,0.008408719,0.8892878040562259,0.008408719,0.8833661278373854,0.010739293735790542,-0.174053237,0.010739293735790542,-0.79592122,,,Figure 4 f,0.008408719,0.8892878040562259,0.008408719,0.8833661278373854,0.010739293735790542,-0.174053237,0.010739293735790542,-0.79592122
Figure 4 c,0.008787144,0.9061188317561873,0.008787144,0.9009370907723017,0.01125315,-0.173757647,0.01125315,-0.736733886,,,Figure 4 f,0.008787144,0.9061188317561873,0.008787144,0.9009370907723017,0.01125315,-0.173757647,0.01125315,-0.736733886
Figure 4 c,0.009182599,0.9216586299742839,0.009182599,0.9172741770038819,0.011791593942692797,-0.173590436,0.011791593942692797,-0.686298039,,,Figure 4 f,0.009182599,0.9216586299742839,0.009182599,0.9172741770038819,0.011791593942692797,-0.173590436,0.011791593942692797,-0.686298039
Figure 4 c,0.009595851,0.9358669348141453,0.009595851,0.932307018,0.012355801210571926,-0.173599537,0.012355801210571926,-0.644775788,,,Figure 4 f,0.009595851,0.9358669348141453,0.009595851,0.932307018,0.012355801210571926,-0.173599537,0.012355801210571926,-0.644775788
