Figure 4 c,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1,,,Figure 4 f,time_CH1,G_CH1,time_CH2,G_CH2,time_CH1 to CH2,G_CH1 to CH2,time_CH2 to CH1,G_CH2 to CH1
Figure 4 c,0.03594348,0.7435282375165572,0.03594348,0.7049775804649022,0.05021377,-0.473817824,0.05021377,-1.433984813,,,Figure 4 f,0.03594348,0.7435282375165572,0.03594348,0.7049775804649022,0.05021377,-0.473817824,0.05021377,-1.433984813
Figure 4 c,0.037561075,0.7211440937015621,0.037561075,0.6819739138253583,0.052616411,-0.501488331,0.052616411,-1.438120918,,,Figure 4 f,0.037561075,0.7211440937015621,0.037561075,0.6819739138253583,0.052616411,-0.501488331,0.052616411,-1.438120918
Figure 4 c,0.039251467,0.698230231,0.039251467,0.6588258071694947,0.055134014921542386,-0.530596738,0.055134014921542386,-1.438994815,,,Figure 4 f,0.039251467,0.698230231,0.039251467,0.6588258071694947,0.055134014921542386,-0.530596738,0.055134014921542386,-1.438994815
Figure 4 c,0.041017934,0.6748500253833074,0.041017934,0.6356106590649455,0.057772082,-0.561068935,0.057772082,-1.436944155,,,Figure 4 f,0.041017934,0.6748500253833074,0.041017934,0.6356106590649455,0.057772082,-0.561068935,0.057772082,-1.436944155
Figure 4 c,0.042863898778792105,0.651069377,0.042863898778792105,0.6123988260220042,0.060536375,-0.592825566,0.060536375,-1.432380914,,,Figure 4 f,0.042863898778792105,0.651069377,0.042863898778792105,0.6123988260220042,0.060536375,-0.592825566,0.060536375,-1.432380914
Figure 4 c,0.044792938922997884,0.6269518977042778,0.044792938922997884,0.5892569742739874,0.063432936,-0.625770726,0.063432936,-1.425746903,,,Figure 4 f,0.044792938922997884,0.6269518977042778,0.044792938922997884,0.5892569742739874,0.063432936,-0.625770726,0.063432936,-1.425746903
Figure 4 c,0.046808793,0.6025665642270005,0.046808793,0.5662484680648703,0.066468091,-0.65976528,0.066468091,-1.417485724,,,Figure 4 f,0.046808793,0.6025665642270005,0.046808793,0.5662484680648703,0.066468091,-0.65976528,0.066468091,-1.417485724
Figure 4 c,0.048915369,0.5779833434897976,0.048915369,0.5434247825158638,0.069648474,-0.694661591,0.069648474,-1.408031047,,,Figure 4 f,0.048915369,0.5779833434897976,0.048915369,0.5434247825158638,0.069648474,-0.694661591,0.069648474,-1.408031047
Figure 4 c,0.051116748,0.5532730998536897,0.051116748,0.5208304321649954,0.072981032,-0.730286424,0.072981032,-1.397776638,,,Figure 4 f,0.051116748,0.5532730998536897,0.051116748,0.5208304321649954,0.072981032,-0.730286424,0.072981032,-1.397776638
Figure 4 c,0.053417198,0.5285045703477247,0.053417198,0.49850766712473005,0.076473048,-0.766455056,0.076473048,-1.387091973,,,Figure 4 f,0.053417198,0.5285045703477247,0.053417198,0.49850766712473005,0.076473048,-0.766455056,0.076473048,-1.387091973
Figure 4 c,0.055821178,0.5037506665743942,0.055821178,0.4764920163705618,0.08013215,-0.802971412,0.08013215,-1.376295726,,,Figure 4 f,0.055821178,0.5037506665743942,0.055821178,0.4764920163705618,0.08013215,-0.802971412,0.08013215,-1.376295726
Figure 4 c,0.058333345,0.47907978741008744,0.058333345,0.45481350437947693,0.083966334,-0.83961747,0.083966334,-1.365763283,,,Figure 4 f,0.058333345,0.47907978741008744,0.058333345,0.45481350437947693,0.083966334,-0.83961747,0.083966334,-1.365763283
Figure 4 c,0.060958569807366546,0.4545597568757875,0.060958569807366546,0.433489216,0.087983977,-0.876141363,0.087983977,-1.355725865,,,Figure 4 f,0.060958569807366546,0.4545597568757875,0.060958569807366546,0.433489216,0.087983977,-0.876141363,0.087983977,-1.355725865
Figure 4 c,0.06370194,0.4302612352265857,0.06370194,0.4125412310900022,0.092193858,-0.912340012,0.092193858,-1.34632218,,,Figure 4 f,0.06370194,0.4302612352265857,0.06370194,0.4125412310900022,0.092193858,-0.912340012,0.092193858,-1.34632218
Figure 4 c,0.066568772,0.4062495803097857,0.066568772,0.3919805623771262,0.096605173,-0.947950547,0.096605173,-1.337657291,,,Figure 4 f,0.066568772,0.4062495803097857,0.066568772,0.3919805623771262,0.096605173,-0.947950547,0.096605173,-1.337657291
Figure 4 c,0.069564622,0.3825866959942498,0.069564622,0.3718139896849892,0.1012275630255709,-0.982735819,0.1012275630255709,-1.329800698,,,Figure 4 f,0.069564622,0.3825866959942498,0.069564622,0.3718139896849892,0.1012275630255709,-0.982735819,0.1012275630255709,-1.329800698
Figure 4 c,0.072695298,0.35933661755171353,0.072695298,0.3520455103753052,0.10607112590996895,-1.01645537,0.10607112590996895,-1.322756943,,,Figure 4 f,0.072695298,0.35933661755171353,0.072695298,0.3520455103753052,0.10607112590996895,-1.01645537,0.10607112590996895,-1.322756943
Figure 4 c,0.075966865,0.3365601722362675,0.075966865,0.3326791732307619,0.1111464448567864,-1.048867704,0.1111464448567864,-1.316347815,,,Figure 4 f,0.075966865,0.3365601722362675,0.075966865,0.3326791732307619,0.1111464448567864,-1.048867704,0.1111464448567864,-1.316347815
Figure 4 c,0.079385666,0.3143077341721895,0.079385666,0.31371114166606945,0.11646460899065116,-1.079741836,0.11646460899065116,-1.310448573,,,Figure 4 f,0.079385666,0.3143077341721895,0.079385666,0.31371114166606945,0.11646460899065116,-1.079741836,0.11646460899065116,-1.310448573
Figure 4 c,0.082958326,0.29262945044266914,0.082958326,0.29513737553239616,0.12203723803152368,-1.108873245,0.12203723803152368,-1.304789968,,,Figure 4 f,0.082958326,0.29262945044266914,0.082958326,0.29513737553239616,0.12203723803152368,-1.108873245,0.12203723803152368,-1.304789968
Figure 4 c,0.08669177,0.2715738128063324,0.08669177,0.27695276831280635,0.1278765076827611,-1.136054418,0.1278765076827611,-1.299060916,,,Figure 4 f,0.08669177,0.2715738128063324,0.08669177,0.27695276831280635,0.1278765076827611,-1.136054418,0.1278765076827611,-1.299060916
Figure 4 c,0.090593232,0.25118617194057524,0.090593232,0.2591526618859296,0.13399517623395601,-1.161100528,0.13399517623395601,-1.292945464,,,Figure 4 f,0.090593232,0.25118617194057524,0.090593232,0.2591526618859296,0.13399517623395601,-1.161100528,0.13399517623395601,-1.292945464
Figure 4 c,0.094670276,0.23150884989395082,0.094670276,0.24173421324367783,0.14040661243667502,-1.183855264,0.14040661243667502,-1.286025999,,,Figure 4 f,0.094670276,0.23150884989395082,0.094670276,0.24173421324367783,0.14040661243667502,-1.183855264,0.14040661243667502,-1.286025999
Figure 4 c,0.098930802,0.21257285110889704,0.098930802,0.22468981703219273,0.1471248247140026,-1.204173873,0.1471248247140026,-1.277906892,,,Figure 4 f,0.098930802,0.21257285110889704,0.098930802,0.22468981703219273,0.1471248247140026,-1.204173873,0.1471248247140026,-1.277906892
Figure 4 c,0.10338306816267367,0.19440809310602167,0.10338306816267367,0.20801518564951144,0.1541644917677111,-1.221948207,0.1541644917677111,-1.26810417,,,Figure 4 f,0.10338306816267367,0.19440809310602167,0.10338306816267367,0.20801518564951144,0.1541644917677111,-1.221948207,0.1541644917677111,-1.26810417
Figure 4 c,0.10803570346647944,0.1770416488063358,0.10803570346647944,0.1917106776024971,0.16154099464993055,-1.237098998,0.16154099464993055,-1.256141365,,,Figure 4 f,0.10803570346647944,0.1770416488063358,0.10803570346647944,0.1917106776024971,0.16154099464993055,-1.237098998,0.16154099464993055,-1.256141365
Figure 4 c,0.11289772523612451,0.16049765254061185,0.11289772523612451,0.17577617039058716,0.16927045036939203,-1.249562536,0.16927045036939203,-1.241610121,,,Figure 4 f,0.11289772523612451,0.16049765254061185,0.11289772523612451,0.17577617039058716,0.16927045036939203,-1.249562536,0.16927045036939203,-1.241610121
Figure 4 c,0.11797855666711318,0.14479123661889018,0.11797855666711318,0.16021175876942348,0.1773697471056715,-1.259294798,0.1773697471056715,-1.223990023,,,Figure 4 f,0.11797855666711318,0.14479123661889018,0.11797855666711318,0.16021175876942348,0.1773697471056715,-1.259294798,0.1773697471056715,-1.223990023
Figure 4 c,0.12328804503495434,0.1299406269522368,0.12328804503495434,0.14502143258957997,0.18585658110837372,-1.266303518,0.18585658110837372,-1.202849054,,,Figure 4 f,0.12328804503495434,0.1299406269522368,0.12328804503495434,0.14502143258957997,0.18585658110837372,-1.266303518,0.18585658110837372,-1.202849054
Figure 4 c,0.12883648078039214,0.11595034802614375,0.12883648078039214,0.13020881687446942,0.19474949536187833,-1.270622507,0.19474949536187833,-1.17781139,,,Figure 4 f,0.12883648078039214,0.11595034802614375,0.12883648078039214,0.13020881687446942,0.19474949536187833,-1.270622507,0.19474949536187833,-1.17781139
Figure 4 c,0.13463461745354388,0.10282885648910642,0.13463461745354388,0.11578215266102353,0.2040679201001264,-1.272279007,0.2040679201001264,-1.148522487,,,Figure 4 f,0.13463461745354388,0.10282885648910642,0.13463461745354388,0.11578215266102353,0.2040679201001264,-1.272279007,0.2040679201001264,-1.148522487
Figure 4 c,0.14069369255560096,0.09057851,0.14069369255560096,0.10175151986006994,0.21383221525996932,-1.271352291,0.21383221525996932,-1.114659056,,,Figure 4 f,0.14069369255560096,0.09057851,0.14069369255560096,0.10175151986006994,0.21383221525996932,-1.271352291,0.21383221525996932,-1.114659056
Figure 4 c,0.14702544931848766,0.079198206,0.14702544931848766,0.088127016,0.2240637149658367,-1.267936698,0.2240637149658367,-1.076015576,,,Figure 4 f,0.14702544931848766,0.079198206,0.14702544931848766,0.088127016,0.2240637149658367,-1.267936698,0.2240637149658367,-1.076015576
Figure 4 c,0.15364215946468604,0.068685129,0.15364215946468604,0.074920384,0.234784774,-1.262150123,0.234784774,-1.032339803,,,Figure 4 f,0.15364215946468604,0.068685129,0.15364215946468604,0.074920384,0.234784774,-1.262150123,0.234784774,-1.032339803
Figure 4 c,0.16055664699134303,0.059028636,0.16055664699134303,0.062144395,0.24601881736070397,-1.2541185,0.24601881736070397,-0.983601085,,,Figure 4 f,0.16055664699134303,0.059028636,0.16055664699134303,0.062144395,0.24601881736070397,-1.2541185,0.24601881736070397,-0.983601085
Figure 4 c,0.1677823130247517,0.050221637341751946,0.1677823130247517,0.049817496499375696,0.2577903900136068,-1.243994796,0.2577903900136068,-0.929784544,,,Figure 4 f,0.1677823130247517,0.050221637341751946,0.1677823130247517,0.049817496499375696,0.2577903900136068,-1.243994796,0.2577903900136068,-0.929784544
Figure 4 c,0.1753331617933799,0.042248732,0.1753331617933799,0.037952768,0.2701252119504837,-1.231951827,0.2701252119504837,-0.870916793,,,Figure 4 f,0.1753331617933799,0.042248732,0.1753331617933799,0.037952768,0.2701252119504837,-1.231951827,0.2701252119504837,-0.870916793
Figure 4 c,0.18322382776978663,0.035090905,0.18322382776978663,0.026563615,0.2830502336702402,-1.21816419,0.2830502336702402,-0.807121993,,,Figure 4 f,0.18322382776978663,0.035090905,0.18322382776978663,0.026563615,0.2830502336702402,-1.21816419,0.2830502336702402,-0.807121993
Figure 4 c,0.19146960403402716,0.028734537660378406,0.19146960403402716,0.015666522165977248,0.29659369520629486,-1.202798158,0.29659369520629486,-0.738655119,,,Figure 4 f,0.19146960403402716,0.028734537660378406,0.19146960403402716,0.015666522165977248,0.29659369520629486,-1.202798158,0.29659369520629486,-0.738655119
Figure 4 c,0.20008647191352041,0.023157114808645015,0.20008647191352041,0.00527494,0.31078518782856407,-1.186055475,0.31078518782856407,-0.66581328,,,Figure 4 f,0.20008647191352041,0.023157114808645015,0.20008647191352041,0.00527494,0.31078518782856407,-1.186055475,0.31078518782856407,-0.66581328
Figure 4 c,0.2090911319568262,0.0183349,0.2090911319568262,-0.004596706,0.32565571869777854,-1.168136039,0.32565571869777854,-0.588974488,,,Figure 4 f,0.2090911319568262,0.0183349,0.2090911319568262,-0.004596706,0.32565571869777854,-1.168136039,0.32565571869777854,-0.588974488
Figure 4 c,0.21850103630135845,0.014242943726638809,0.21850103630135845,-0.013933337,0.34123777861339744,-1.149229025,0.34123777861339744,-0.508572072,,,Figure 4 f,0.21850103630135845,0.014242943726638809,0.21850103630135845,-0.013933337,0.34123777861339744,-1.149229025,0.34123777861339744,-0.508572072
Figure 4 c,0.228334422,0.010851651554997876,0.228334422,-0.022727628,0.35756541300314143,-1.129521889,0.35756541300314143,-0.425117356,,,Figure 4 f,0.228334422,0.010851651554997876,0.228334422,-0.022727628,0.35756541300314143,-1.129521889,0.35756541300314143,-0.425117356
Figure 4 c,0.23861034885658078,0.008132912,0.23861034885658078,-0.030963916,0.3746742963092523,-1.109208808,0.3746742963092523,-0.339149369,,,Figure 4 f,0.23861034885658078,0.008132912,0.23861034885658078,-0.030963916,0.3746742963092523,-1.109208808,0.3746742963092523,-0.339149369
Figure 4 c,0.2493487313854941,0.006054068,0.2493487313854941,-0.038635157,0.3926018099340052,-1.088485881,0.3926018099340052,-0.251274795,,,Figure 4 f,0.2493487313854941,0.006054068,0.2493487313854941,-0.038635157,0.3926018099340052,-1.088485881,0.3926018099340052,-0.251274795
Figure 4 c,0.26057038238909813,0.004581972,0.26057038238909813,-0.045734193,0.4113871239147783,-1.067534826,0.4113871239147783,-0.162166456,,,Figure 4 f,0.26057038238909813,0.004581972,0.26057038238909813,-0.045734193,0.4113871239147783,-1.067534826,0.4113871239147783,-0.162166456
Figure 4 c,0.272297051,0.003679297,0.272297051,-0.052257263,0.4310712825071326,-1.046519789,0.4310712825071326,-0.072473047,,,Figure 4 f,0.272297051,0.003679297,0.272297051,-0.052257263,0.4310712825071326,-1.046519789,0.4310712825071326,-0.072473047
Figure 4 c,0.2845514643592047,0.00331049,0.2845514643592047,-0.058201819,0.45169729386289337,-1.02561134,0.45169729386289337,0.01715013,,,Figure 4 f,0.2845514643592047,0.00331049,0.2845514643592047,-0.058201819,0.45169729386289337,-1.02561134,0.45169729386289337,0.01715013
Figure 4 c,0.2973573736087162,0.003435621,0.2973573736087162,-0.063561741,0.47331022399917144,-1.004964966,0.47331022399917144,0.10604044053227943,,,Figure 4 f,0.2973573736087162,0.003435621,0.2973573736087162,-0.063561741,0.47331022399917144,-1.004964966,0.47331022399917144,0.10604044053227943
Figure 4 c,0.3107395979795572,0.004018545,0.3107395979795572,-0.068339324,0.4959572952636393,-0.984730829,0.4959572952636393,0.19349861602655782,,,Figure 4 f,0.3107395979795572,0.004018545,0.3107395979795572,-0.068339324,0.4959572952636393,-0.984730829,0.4959572952636393,0.19349861602655782
Figure 4 c,0.3247240738666066,0.005015609,0.3247240738666066,-0.072537652,0.5196879895111991,-0.965050755,0.5196879895111991,0.2788785070218314,,,Figure 4 f,0.3247240738666066,0.005015609,0.3247240738666066,-0.072537652,0.5196879895111991,-0.965050755,0.5196879895111991,0.2788785070218314
Figure 4 c,0.33933790490216925,0.006385367,0.33933790490216925,-0.076159747,0.5445541562174748,-0.946042828,0.5445541562174748,0.3615531752560413,,,Figure 4 f,0.33933790490216925,0.006385367,0.33933790490216925,-0.076159747,0.5445541562174748,-0.946042828,0.5445541562174748,0.3615531752560413
Figure 4 c,0.3546094144861468,0.008086065,0.3546094144861468,-0.0792083,0.5706101257653478,-0.927816106,0.5706101257653478,0.44091215638365644,,,Figure 4 f,0.3546094144861468,0.008086065,0.3546094144861468,-0.0792083,0.5706101257653478,-0.927816106,0.5706101257653478,0.44091215638365644
Figure 4 c,0.3705682006802658,0.010074557362958208,0.3705682006802658,-0.08169499,0.5979128281520543,-0.910475791,0.5979128281520543,0.5164280299882972,,,Figure 4 f,0.3705682006802658,0.010074557362958208,0.3705682006802658,-0.08169499,0.5979128281520543,-0.910475791,0.5979128281520543,0.5164280299882972
Figure 4 c,0.387245194,0.012306286011814193,0.387245194,-0.083629123,0.6265219173762135,-0.894116856,0.6265219173762135,0.5875736532892238,,,Figure 4 f,0.387245194,0.012306286011814193,0.387245194,-0.083629123,0.6265219173762135,-0.894116856,0.6265219173762135,0.5875736532892238
Figure 4 c,0.40467271522466425,0.014735408075018247,0.40467271522466425,-0.085018207,0.6564999017765568,-0.878817335,0.6564999017765568,0.6539268781442074,,,Figure 4 f,0.40467271522466425,0.014735408075018247,0.40467271522466425,-0.085018207,0.6564999017765568,-0.878817335,0.6564999017765568,0.6539268781442074
Figure 4 c,0.4228845423139762,0.017318971802613454,0.4228845423139762,-0.085878289,0.6879122806071393,-0.864636627,0.6879122806071393,0.7150690303624346,,,Figure 4 f,0.4228845423139762,0.017318971802613454,0.4228845423139762,-0.085878289,0.6879122806071393,-0.864636627,0.6879122806071393,0.7150690303624346
Figure 4 c,0.44191597159897084,0.020020071,0.44191597159897084,-0.086223146,0.7208276871474377,-0.851635371,0.7208276871474377,0.7706740965741502,,,Figure 4 f,0.44191597159897084,0.020020071,0.44191597159897084,-0.086223146,0.7208276871474377,-0.851635371,0.7208276871474377,0.7706740965741502
Figure 4 c,0.461803888,0.022795335217541655,0.461803888,-0.086065855,0.7553180386600181,-0.839856416,0.7553180386600181,0.8204862973417596,,,Figure 4 f,0.461803888,0.022795335217541655,0.461803888,-0.086065855,0.7553180386600181,-0.839856416,0.7553180386600181,0.8204862973417596
Figure 4 c,0.48258683772599437,0.025599876952440016,0.48258683772599437,-0.085426656,0.7914586935234158,-0.829326526,0.7914586935234158,0.8643185089886581,,,Figure 4 f,0.48258683772599437,0.025599876952440016,0.48258683772599437,-0.085426656,0.7914586935234158,-0.829326526,0.7914586935234158,0.8643185089886581
Figure 4 c,0.5043050997031191,0.028395655018118342,0.5043050997031191,-0.08432429,0.8293286158835522,-0.820072196,0.8293286158835522,0.9020127520210908,,,Figure 4 f,0.5043050997031191,0.028395655018118342,0.5043050997031191,-0.08432429,0.8293286158835522,-0.820072196,0.8293286158835522,0.9020127520210908
Figure 4 c,0.5270007669189153,0.031146236292162774,0.5270007669189153,-0.082780147,0.8690105481834346,-0.812103231,0.8690105481834346,0.933508442,,,Figure 4 f,0.5270007669189153,0.031146236292162774,0.5270007669189153,-0.082780147,0.8690105481834346,-0.812103231,0.8690105481834346,0.933508442
Figure 4 c,0.5507178263646793,0.03381482,0.5507178263646793,-0.080817298,0.910591192,-0.805418328,0.910591192,0.9588103761446046,,,Figure 4 f,0.5507178263646793,0.03381482,0.5507178263646793,-0.080817298,0.910591192,-0.805418328,0.910591192,0.9588103761446046
Figure 4 c,0.5755022446153324,0.036369848,0.5755022446153324,-0.078459949,0.9541613972198172,-0.800010919,0.9541613972198172,0.977968637,,,Figure 4 f,0.5755022446153324,0.036369848,0.5755022446153324,-0.078459949,0.9541613972198172,-0.800010919,0.9541613972198172,0.977968637
Figure 4 c,0.6014020569182859,0.038777015,0.6014020569182859,-0.075736197,0.9998163610574021,-0.795858369,0.9998163610574021,0.9911056865909439,,,Figure 4 f,0.6014020569182859,0.038777015,0.6014020569182859,-0.075736197,0.9998163610574021,-0.795858369,0.9998163610574021,0.9911056865909439
Figure 4 c,0.6284674602916557,0.04100841,0.6284674602916557,-0.072672827,1.0476558355334227,-0.792933933,1.0476558355334227,0.998377619,,,Figure 4 f,0.6284674602916557,0.04100841,0.6284674602916557,-0.072672827,1.0476558355334227,-0.792933933,1.0476558355334227,0.998377619
Figure 4 c,0.6567509108122489,0.043036139341424785,0.6567509108122489,-0.069299245,1.0977843456836758,-0.791196517,1.0977843456836758,1,,,Figure 4 f,0.6567509108122489,0.043036139341424785,0.6567509108122489,-0.069299245,1.0977843456836758,-0.791196517,1.0977843456836758,1
Figure 4 c,0.6863072252818829,0.044840031,0.6863072252818829,-0.065648384,1.1503114178851817,-0.790592035,1.1503114178851817,0.996241318,,,Figure 4 f,0.6863072252818829,0.044840031,0.6863072252818829,-0.065648384,1.1503114178851817,-0.790592035,1.1503114178851817,0.996241318
Figure 4 c,0.7171936874690861,0.046399638,0.7171936874690861,-0.061753988,1.2053518191616652,-0.791069933,1.2053518191616652,0.9873925372650222,,,Figure 4 f,0.7171936874690861,0.046399638,0.7171936874690861,-0.061753988,1.2053518191616652,-0.791069933,1.2053518191616652,0.9873925372650222
Figure 4 c,0.7494701591320734,0.047698494,0.7494701591320734,-0.057650643,1.263025807939388,-0.792569867,1.263025807939388,0.9737610073787806,,,Figure 4 f,0.7494701591320734,0.047698494,0.7494701591320734,-0.057650643,1.263025807939388,-0.792569867,1.263025807939388,0.9737610073787806
Figure 4 c,0.7831991960381932,0.048723793,0.7831991960381932,-0.053374063,1.3234593968012154,-0.795022462,1.3234593968012154,0.9556893053841998,,,Figure 4 f,0.7831991960381932,0.048723793,0.7831991960381932,-0.053374063,1.3234593968012154,-0.795022462,1.3234593968012154,0.9556893053841998
Figure 4 c,0.8184461692046874,0.049464241,0.8184461692046874,-0.048960329,1.3867846278129992,-0.798355083,1.3867846278129992,0.9335482799469469,,,Figure 4 f,0.8184461692046874,0.049464241,0.8184461692046874,-0.048960329,1.3867846278129992,-0.798355083,1.3867846278129992,0.9335482799469469
Figure 4 c,0.8552793915957507,0.049915785,0.8552793915957507,-0.044447735,1.4531398610238595,-0.802484538,1.4531398610238595,0.9077235389343669,,,Figure 4 f,0.8552793915957507,0.049915785,0.8552793915957507,-0.044447735,1.4531398610238595,-0.802484538,1.4531398610238595,0.9077235389343669
Figure 4 c,0.8937702505214546,0.050074000885062024,0.8937702505214546,-0.039873875,1.5226700767706967,-0.807320154,1.5226700767706967,0.8785913455814353,,,Figure 4 f,0.8937702505214546,0.050074000885062024,0.8937702505214546,-0.039873875,1.5226700767706967,-0.807320154,1.5226700767706967,0.8785913455814353
Figure 4 c,0.9339933459951167,0.049940816,0.9339933459951167,-0.035275365,1.5955271924474521,-0.812771537,1.5955271924474521,0.8465685470647791,,,Figure 4 f,0.9339933459951167,0.049940816,0.9339933459951167,-0.035275365,1.5955271924474521,-0.812771537,1.5955271924474521,0.8465685470647791
Figure 4 c,0.976026635,0.049516851065311736,0.976026635,-0.030691928,1.6718703944312254,-0.818746878,1.6718703944312254,0.8120360025127837,,,Figure 4 f,0.976026635,0.049516851065311736,0.976026635,-0.030691928,1.6718703944312254,-0.818746878,1.6718703944312254,0.8120360025127837
Figure 4 c,1.0199515841666258,0.048810545837556424,1.0199515841666258,-0.026160409,1.7518664858904818,-0.825149769,1.7518664858904818,0.775417749,,,Figure 4 f,1.0199515841666258,0.048810545837556424,1.0199515841666258,-0.026160409,1.7518664858904818,-0.825149769,1.7518664858904818,0.775417749
Figure 4 c,1.0658533244902844,0.047830369,1.0658533244902844,-0.021715331,1.8356902512352657,-0.831883964,1.8356902512352657,0.7371025251256456,,,Figure 4 f,1.0658533244902844,0.047830369,1.0658533244902844,-0.021715331,1.8356902512352657,-0.831883964,1.8356902512352657,0.7371025251256456
Figure 4 c,1.1138208195001944,0.046590048,1.1138208195001944,-0.017390136,1.9235248380057548,-0.838849836,1.9235248380057548,0.6974441197659522,,,Figure 4 f,1.1138208195001944,0.046590048,1.1138208195001944,-0.017390136,1.9235248380057548,-0.838849836,1.9235248380057548,0.6974441197659522
Figure 4 c,1.1639470360946385,0.045107126289485176,1.1639470360946385,-0.013216692,2.0155621570334663,-0.845949392,2.0155621570334663,0.6568160603605432,,,Figure 4 f,1.1639470360946385,0.045107126289485176,1.1639470360946385,-0.013216692,2.0155621570334663,-0.845949392,2.0155621570334663,0.6568160603605432
Figure 4 c,1.216329125039539,0.043394620916356964,1.216329125039539,-0.009228807,2.1120033017495423,-0.853093424,2.1120033017495423,0.6155470002438379,,,Figure 4 f,1.216329125039539,0.043394620916356964,1.216329125039539,-0.009228807,2.1120033017495423,-0.853093424,2.1120033017495423,0.6155470002438379
Figure 4 c,1.2710686092585741,0.041468202,1.2710686092585741,-0.005451556,2.2130589875561433,-0.860183756,2.2130589875561433,0.5739754641447293,,,Figure 4 f,1.2710686092585741,0.041468202,1.2710686092585741,-0.005451556,2.2130589875561433,-0.860183756,2.2130589875561433,0.5739754641447293
Figure 4 c,1.328271580597074,0.039353008,1.328271580597074,-0.001908251,2.3189500122210656,-0.867122505,2.3189500122210656,0.5323982541641759,,,Figure 4 f,1.328271580597074,0.039353008,1.328271580597074,-0.001908251,2.3189500122210656,-0.867122505,2.3189500122210656,0.5323982541641759
Figure 4 c,1.388048905441056,0.037071542,1.388048905441056,0.001377355,2.4299077383013707,-0.873821009,2.4299077383013707,0.49111418628037046,,,Figure 4 f,1.388048905441056,0.037071542,1.388048905441056,0.001377355,2.4299077383013707,-0.873821009,2.4299077383013707,0.49111418628037046
Figure 4 c,1.4505164395898993,0.034644288,1.4505164395898993,0.004391597,2.546174599,-0.880193706,2.546174599,0.45036125090694773,,,Figure 4 f,1.4505164395898993,0.034644288,1.4505164395898993,0.004391597,2.546174599,-0.880193706,2.546174599,0.45036125090694773
Figure 4 c,1.5157952527991116,0.032093624287738674,1.5157952527991116,0.00712074,2.6680046261112556,-0.886166094,2.6680046261112556,0.4103058199706483,,,Figure 4 f,1.5157952527991116,0.032093624287738674,1.5157952527991116,0.00712074,2.6680046261112556,-0.886166094,2.6680046261112556,0.4103058199706483
Figure 4 c,1.5840118634284004,0.029442961,1.5840118634284004,0.009549906,2.7956640085580178,-0.891666071,2.7956640085580178,0.3711348291075069,,,Figure 4 f,1.5840118634284004,0.029442961,1.5840118634284004,0.009549906,2.7956640085580178,-0.891666071,2.7956640085580178,0.3711348291075069
Figure 4 c,1.6552984836497842,0.026716822692871796,1.6552984836497842,0.011674960643515586,2.929431670490946,-0.896622962,2.929431670490946,0.33300337249242207,,,Figure 4 f,1.6552984836497842,0.026716822692871796,1.6552984836497842,0.011674960643515586,2.929431670490946,-0.896622962,2.929431670490946,0.33300337249242207
Figure 4 c,1.7297932756910361,0.023939301281736335,1.7297932756910361,0.013493267347855605,3.0695998824628794,-0.900978493,3.0695998824628794,0.2960128674610446,,,Figure 4 f,1.7297932756910361,0.023939301281736335,1.7297932756910361,0.013493267347855605,3.0695998824628794,-0.900978493,3.0695998824628794,0.2960128674610446
Figure 4 c,1.8076406196110486,0.021127455,1.8076406196110486,0.015005067142884052,3.2164748996644072,-0.904677751,3.2164748996644072,0.26029104334221065,,,Figure 4 f,1.8076406196110486,0.021127455,1.8076406196110486,0.015005067142884052,3.2164748996644072,-0.904677751,3.2164748996644072,0.26029104334221065
Figure 4 c,1.888991393,0.018306182,1.888991393,0.016211311,3.3703776310645237,-0.907677469,3.3703776310645237,0.22588335272737395,,,Figure 4 f,1.888991393,0.018306182,1.888991393,0.016211311,3.3703776310645237,-0.907677469,3.3703776310645237,0.22588335272737395
Figure 4 c,1.974003264,0.015494127406019877,1.974003264,0.017124526,3.5316443405683913,-0.909933216,3.5316443405683913,0.19276930115836297,,,Figure 4 f,1.974003264,0.015494127406019877,1.974003264,0.017124526,3.5316443405683913,-0.909933216,3.5316443405683913,0.19276930115836297
Figure 4 c,2.062840995771065,0.012711536,2.062840995771065,0.017754997,3.7006273817243938,-0.911400789,3.7006273817243938,0.16094274045797674,,,Figure 4 f,2.062840995771065,0.012711536,2.062840995771065,0.017754997,3.7006273817243938,-0.911400789,3.7006273817243938,0.16094274045797674
Figure 4 c,2.1556767667888117,0.009974831,2.1556767667888117,0.018114604940428023,3.8776959675855314,-0.912056272,3.8776959675855314,0.13038234595840423,,,Figure 4 f,2.1556767667888117,0.009974831,2.1556767667888117,0.018114604940428023,3.8776959675855314,-0.912056272,3.8776959675855314,0.13038234595840423
Figure 4 c,2.252690504212175,0.007300607,2.252690504212175,0.018219528903120077,4.063236977407463,-0.91188538,4.063236977407463,0.10098077489876307,,,Figure 4 f,2.252690504212175,0.007300607,2.252690504212175,0.018219528903120077,4.063236977407463,-0.91188538,4.063236977407463,0.10098077489876307
Figure 4 c,2.354070232582724,0.004701888,2.354070232582724,0.018083977086242355,4.257655801945525,-0.910878777,4.257655801945525,0.072658081,,,Figure 4 f,2.354070232582724,0.004701888,2.354070232582724,0.018083977086242355,4.257655801945525,-0.910878777,4.257655801945525,0.072658081
