Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V,,Figure,Time (s),RBM10,mCherry,ccpCF V-R,ccpCF R-V
Figure 5d,0.268837152,0.284805441,-0.016321554,-0.240521344,-1.541933545,,Figure 5e,0.268837152,0.284815538,0.113551255,-2.282708578,-2.335144414
Figure 5d,0.278410496,0.265976318,-0.011288528,-0.245166855,-1.472278608,,Figure 5e,0.278410496,0.265986679,0.121346588,-2.260048105,-2.228532254
Figure 5d,0.288324749,0.248492587,-0.005633704,-0.248654825,-1.39912552,,Figure 5e,0.288324749,0.248503152,0.129831823,-2.232485278,-2.11852332
Figure 5d,0.298592051,0.232378413,0.000558493,-0.250883093,-1.322707698,,Figure 5e,0.298592051,0.232389124,0.138845979,-2.199535333,-2.005254366
Figure 5d,0.309224973,0.217669843,0.007223528,-0.251740556,-1.243262695,,Figure 5e,0.309224973,0.217680649,0.148272402,-2.160759675,-1.888854549
Figure 5d,0.320236536,0.204369232,0.01427348,-0.251178673,-1.160947993,,Figure 5e,0.320236536,0.204380086,0.157954508,-2.11594575,-1.769326831
Figure 5d,0.331640222,0.192421515,0.021618916,-0.249086793,-1.075887098,,Figure 5e,0.331640222,0.192432375,0.167735155,-2.064751295,-1.646731808
Figure 5d,0.343449996,0.181824544,0.029177773,-0.24537506,-0.988353806,,Figure 5e,0.343449996,0.181835375,0.177491468,-2.006939352,-1.521348146
Figure 5d,0.355680319,0.172503924,0.036858629,-0.239965349,-0.898527697,,Figure 5e,0.355680319,0.172514699,0.187075929,-1.942237687,-1.393255475
Figure 5d,0.368346166,0.164380105,0.044569374,-0.232844,-0.806506918,,Figure 5e,0.368346166,0.164390804,0.196335936,-1.870855108,-1.262546283
Figure 5d,0.381463046,0.157403721,0.052230268,-0.223897009,-0.712455623,,Figure 5e,0.381463046,0.157414331,0.205163181,-1.792379322,-1.12937571
Figure 5d,0.395047021,0.151489153,0.059740526,-0.213158718,-0.616547868,,Figure 5e,0.395047021,0.151499664,0.213404929,-1.707096037,-0.99382603
Figure 5d,0.409114724,0.146532379,0.067024692,-0.200639443,-0.518856802,,Figure 5e,0.409114724,0.146542788,0.220957442,-1.615233755,-0.856023752
Figure 5d,0.42368338,0.142465524,0.074013154,-0.186345835,-0.419614199,,Figure 5e,0.42368338,0.142475832,0.22773249,-1.516962374,-0.716276588
Figure 5d,0.438770829,0.139210139,0.08062237,-0.17037415,-0.31894726,,Figure 5e,0.438770829,0.139220351,0.233622727,-1.412734916,-0.574629695
Figure 5d,0.454395546,0.136656355,0.086770389,-0.152784585,-0.217024986,,Figure 5e,0.454395546,0.13666648,0.238514707,-1.302966987,-0.431341828
Figure 5d,0.470576661,0.134728449,0.09240324,-0.133718074,-0.114011338,,Figure 5e,0.470576661,0.134738493,0.242357786,-1.188298852,-0.286593851
Figure 5d,0.48733399,0.133354773,0.09745223,-0.113340416,-0.010191528,,Figure 5e,0.48733399,0.133364744,0.245064012,-1.069490941,-0.140761484
Figure 5d,0.50468805,0.132429323,0.101862156,-0.091827512,0.094116056,,Figure 5e,0.50468805,0.132439228,0.246578439,-0.947301643,0.005768859
Figure 5d,0.522660092,0.131886135,0.105596089,-0.069376284,0.198566084,,Figure 5e,0.522660092,0.131895978,0.246861114,-0.822646142,0.152472449
Figure 5d,0.541272121,0.131647017,0.108606991,-0.04625012,0.302767783,,Figure 5e,0.541272121,0.1316568,0.245867925,-0.696558609,0.298898943
Figure 5d,0.560546929,0.131634568,0.110886151,-0.022634811,0.406316196,,Figure 5e,0.560546929,0.131644285,0.24359114,-0.569853246,0.444436996
Figure 5d,0.580508116,0.131777617,0.112408256,0.001137569,0.508545448,,Figure 5e,0.580508116,0.131787261,0.240016616,-0.443968313,0.588178422
Figure 5d,0.601180126,0.131994104,0.113174773,0.024831427,0.608956858,,Figure 5e,0.601180126,0.132003661,0.235160296,-0.31986856,0.729418094
Figure 5d,0.622588269,0.132217399,0.113183209,0.048212897,0.706799077,,Figure 5e,0.622588269,0.132226849,0.229032551,-0.198623574,0.867044998
Figure 5d,0.644758761,0.132385176,0.112462281,0.070986971,0.801310902,,Figure 5e,0.644758761,0.132394493,0.221683662,-0.081426035,1
