Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V
Figure S2a,165,164,,Figure S2b,0.000750902,-0.247639947,-0.105511108,-0.056093793,-0.280073866,,FigureS2c,0.000750902,-0.247639947,-0.105511108,-0.453182282,-1.511617415,,FigureS2d,165,164,,Figure S2e,0.000642331,-0.00331788,0.09490223,0.007488233,0.1154525677521496,,Figure S2f,0.000642331,-0.00331788,0.09490223,-2.151336253,-0.955577689
Figure S2a,180,185,,Figure S2b,0.000784816,-0.241228338,-0.09941946,-0.051841767,-0.270929649,,FigureS2c,0.000784816,-0.241228338,-0.09941946,-0.494407077,-1.476576251,,FigureS2d,180,185,,Figure S2e,0.000668353,-0.001172415,0.090772853,0.008889789,0.11474767443970647,,Figure S2f,0.000668353,-0.001172415,0.090772853,-2.134954089,-0.818464166
Figure S2a,205,161,,Figure S2b,0.000820262,-0.234258192,-0.092373767,-0.046968048,-0.261278656,,FigureS2c,0.000820262,-0.234258192,-0.092373767,-0.537272698,-1.442361596,,FigureS2d,205,161,,Figure S2e,0.000695428,0.001336257,0.086867597,0.010778243064769072,0.11459176158478572,,Figure S2f,0.000695428,0.001336257,0.086867597,-2.116994691,-0.689922281
Figure S2a,214,151,,Figure S2b,0.000857309,-0.226748729,-0.084429282,-0.041456955,-0.25111695,,FigureS2c,0.000857309,-0.226748729,-0.084429282,-0.581821486,-1.408905238,,FigureS2d,214,151,,Figure S2e,0.000723601,0.004180103,0.083206839,0.013168500143051095,0.11498696792230238,,Figure S2f,0.000723601,0.004180103,0.083206839,-2.097435435,-0.570831068
Figure S2a,164,154,,Figure S2b,0.000896029,-0.218674528,-0.075612831,-0.035266322,-0.240412722,,FigureS2c,0.000896029,-0.218674528,-0.075612831,-0.628060151,-1.376120548,,FigureS2d,164,154,,Figure S2e,0.000752915,0.007328755,0.079803561,0.016087935715485877,0.11594542724840265,,Figure S2f,0.000752915,0.007328755,0.079803561,-2.076234244,-0.461742244
Figure S2a,164,147,,Figure S2b,0.000936497,-0.210018285,-0.065962908,-0.028363184,-0.229141214,,FigureS2c,0.000936497,-0.210018285,-0.065962908,-0.675896476,-1.34393966,,FigureS2d,164,147,,Figure S2e,0.000783417,0.010774006801991068,0.076690329,0.019525492,0.11744483251156453,,Figure S2f,0.000783417,0.010774006801991068,0.076690329,-2.053339974,-0.363684398
Figure S2a,176,173,,Figure S2b,0.000978794,-0.200784427,-0.055541094,-0.020742167,-0.21731003,,FigureS2c,0.000978794,-0.200784427,-0.055541094,-0.725258442,-1.312269776,,FigureS2d,176,173,,Figure S2e,0.000815154,0.014479103661664114,0.073871903,0.023474631104777093,0.1194694806978362,,Figure S2f,0.000815154,0.014479103661664114,0.073871903,-2.028787207,-0.277003499
Figure S2a,183,180,,Figure S2b,0.001023,-0.190967089,-0.044412218,-0.012375335,-0.204902761,,FigureS2c,0.001023,-0.190967089,-0.044412218,-0.77603302,-1.281089007,,FigureS2d,183,180,,Figure S2e,0.000848177,0.018435206860841356,0.071371045,0.027957073440384086,0.12202873099466546,,Figure S2f,0.000848177,0.018435206860841356,0.071371045,-2.002607221,-0.202066145
Figure S2a,180,176,,Figure S2b,0.001069204,-0.180564905,-0.032642534,-0.003216718,-0.191881529,,FigureS2c,0.001069204,-0.180564905,-0.032642534,-0.828015234,-1.250385876,,FigureS2d,180,176,,Figure S2e,0.000882538,0.022641803495088066,0.069226819,0.032959145,0.12510147728645427,,Figure S2f,0.000882538,0.022641803495088066,0.069226819,-1.97484303,-0.139043644
Figure S2a,172,163,,Figure S2b,0.001117494,-0.169585735,-0.02030957,0.00675668,-0.178232515,,FigureS2c,0.001117494,-0.169585735,-0.02030957,-0.881058705,-1.220078663,,FigureS2d,172,163,,Figure S2e,0.000918291,0.027078082513069816,0.067445751,0.038490537,0.1286905097588533,,Figure S2f,0.000918291,0.027078082513069816,0.067445751,-1.945542301,-0.088008661
Figure S2a,217,157,,Figure S2b,0.001167965,-0.15799962,-0.007465957,0.017566245,-0.163944389,,FigureS2c,0.001167965,-0.15799962,-0.007465957,-0.934968875,-1.190216,,FigureS2d,217,157,,Figure S2e,0.000955492,0.031719561345990965,0.066031622,0.044540556504117486,0.13277956812549474,,Figure S2f,0.000955492,0.031719561345990965,0.066031622,-1.914780842,-0.048937013
Figure S2a,170,216,,Figure S2b,0.001220716,-0.145789098,0.005834546,0.02923764,-0.149000696,,FigureS2c,0.001220716,-0.145789098,0.005834546,-0.989542738,-1.160788511,,FigureS2d,170,216,,Figure S2e,0.0009942,0.036571678,0.065012512,0.051128697,0.1373850467056018,,Figure S2f,0.0009942,0.036571678,0.065012512,-1.882692088,-0.021539296
Figure S2a,187,165,,Figure S2b,0.001275849,-0.13297225,0.019504221,0.041797012,-0.133383542,,FigureS2c,0.001275849,-0.13297225,0.019504221,-1.044380458,-1.131843792,,FigureS2d,187,165,,Figure S2e,0.001034477,0.041649918,0.064427471,0.058255198369560064,0.14250484192802643,,Figure S2f,0.001034477,0.041649918,0.064427471,-1.849436438,-0.005376707
Figure S2a,176,187,,Figure S2b,0.001333472,-0.119506086,0.033512248,0.055249083,-0.117100814,,FigureS2c,0.001333472,-0.119506086,0.033512248,-1.099203938,-1.103402017,,FigureS2d,176,187,,Figure S2e,0.001076385,0.046943026,0.064287136,0.065915483,0.14813621483834719,,Figure S2f,0.001076385,0.046943026,0.064287136,-1.815162066,0
Figure S2a,184,170,,Figure S2b,0.001393697,-0.105410834,0.047781753,0.069645833,-0.100099208,,FigureS2c,0.001393697,-0.105410834,0.047781753,-1.153666485,-1.07548663,,FigureS2d,184,170,,Figure S2e,0.00111999,0.052455831512872704,0.064613189,0.074112666,0.15428365045519124,,Figure S2f,0.00111999,0.052455831512872704,0.064613189,-1.780040568,-0.004724808
Figure S2a,152,149,,Figure S2b,0.001456643,-0.090644642,0.062293755,0.08498649,-0.082384772,,FigureS2c,0.001456643,-0.090644642,0.062293755,-1.207454167,-1.048210367,,FigureS2d,152,149,,Figure S2e,0.001165363,0.058196922,0.06542744,0.082849717,0.1609535911320862,,Figure S2f,0.001165363,0.058196922,0.06542744,-1.744258136,-0.018812979
Figure S2a,160,174,,Figure S2b,0.001522432,-0.075224423,0.076993635,0.101269802,-0.063960385,,FigureS2c,0.001522432,-0.075224423,0.076993635,-1.26010514,-1.021622759,,FigureS2d,160,174,,Figure S2e,0.001212573,0.06417699,0.066753628,0.092131125,0.16815664554719467,,Figure S2f,0.001212573,0.06417699,0.066753628,-1.708025306,-0.041504569
Figure S2a,135,155,,Figure S2b,0.001591192,-0.059118,0.091869055,0.11852314,-0.044801778,,FigureS2c,0.001591192,-0.059118,0.091869055,-1.311176294,-0.9957819,,FigureS2d,135,155,,Figure S2e,0.001261696,0.070410011,0.068617538,0.10194669130209108,0.17588416344637045,,Figure S2f,0.001261696,0.070410011,0.068617538,-1.671601479,-0.071850521
Figure S2a,143,172,,Figure S2b,0.001663057,-0.042300744,0.106915104,0.136750762,-0.02490391,,FigureS2c,0.001663057,-0.042300744,0.106915104,-1.36035172,-0.970764353,,FigureS2d,143,172,,Figure S2e,0.001312809,0.076912158,0.071044582,0.11231795928514911,0.1841667309402522,,Figure S2f,0.001312809,0.076912158,0.071044582,-1.635204543,-0.108897419
Figure S2a,159,145,,Figure S2b,0.001738168,-0.024732132,0.122147033,0.155940237,-0.004272416,,FigureS2c,0.001738168,-0.024732132,0.122147033,-1.407258208,-0.946654251,,FigureS2d,159,145,,Figure S2e,0.001365993,0.083702819,0.074061706,0.12326109322701846,0.19302806320845323,,Figure S2f,0.001365993,0.083702819,0.074061706,-1.599074374,-0.151651253
Figure S2a,168,170,,Figure S2b,0.001816672,-0.006414706,0.137561318,0.176094599,0.017096474,,FigureS2c,0.001816672,-0.006414706,0.137561318,-1.45143056,-0.923525205,,FigureS2d,168,170,,Figure S2e,0.001421331,0.09079908,0.077688782,0.13476763411180032,0.2024650536695003,,Figure S2f,0.001421331,0.09079908,0.077688782,-1.563451827,-0.199099577
Figure S2a,191,152,,Figure S2b,0.001898721,0.012664293,0.153175387,0.197191955,0.039192022,,FigureS2c,0.001898721,0.012664293,0.153175387,-1.492509666,-0.901447079,,FigureS2d,191,152,,Figure S2e,0.001478911,0.098212993,0.081939603,0.14686492906516643,0.2125155883649846,,Figure S2f,0.001478911,0.098212993,0.081939603,-1.528573502,-0.250270857
Figure S2a,202,172,,Figure S2b,0.001984476,0.032555226,0.169040413,0.219207836,0.062002324,,FigureS2c,0.001984476,0.032555226,0.169040413,-1.530218489,-0.88048972,,FigureS2d,202,172,,Figure S2e,0.001538824,0.10598649039484329,0.08685399,0.15955356596307005,0.22318479389416204,,Figure S2f,0.001538824,0.10598649039484329,0.08685399,-1.494667072,-0.304151866
Figure S2a,193,174,,Figure S2b,0.002074104,0.05330251,0.185215825,0.242095426,0.08549581,,FigureS2c,0.002074104,0.05330251,0.185215825,-1.564212364,-0.860710469,,FigureS2d,193,174,,Figure S2e,0.001601164,0.11416012957343673,0.092472701,0.17283626614630807,0.23448005189343066,,Figure S2f,0.001601164,0.11416012957343673,0.092472701,-1.461946588,-0.359799592
Figure S2a,186,170,,Figure S2b,0.002167779,0.074908961,0.201737762,0.265817926,0.109651418,,FigureS2c,0.002167779,0.074908961,0.201737762,-1.594206611,-0.842143473,,FigureS2d,186,170,,Figure S2e,0.001666029,0.12274541973081135,0.09880209,0.18672857348969815,0.24642389587497776,,Figure S2f,0.001666029,0.12274541973081135,0.09880209,-1.430608024,-0.416303098
Figure S2a,152,144,,Figure S2b,0.002265686,0.097392394,0.218654395,0.290327931,0.134437878,,FigureS2c,0.002265686,0.097392394,0.218654395,-1.61994416,-0.824841269,,FigureS2d,152,144,,Figure S2e,0.001733522,0.13177260515355046,0.10586083993184478,0.20124683124406414,0.25903901045656674,,Figure S2f,0.001733522,0.13177260515355046,0.10586083993184478,-1.400809774,-0.472701938
Figure S2a,193,138,,Figure S2b,0.002368015,0.120798357,0.23604188,0.315566731,0.159820118,,FigureS2c,0.002368015,0.120798357,0.23604188,-1.641284563,-0.808812922,,FigureS2d,193,138,,Figure S2e,0.001803749,0.14129055168918664,0.11368953416566836,0.2163858892499023,0.2723180054394819,,Figure S2f,0.001803749,0.14129055168918664,0.11368953416566836,-1.372717608,-0.52840917
Figure S2a,202,135,,Figure S2b,0.002474965,0.145161726,0.253975277,0.341480683,0.185765452,,FigureS2c,0.002474965,0.145161726,0.253975277,-1.657960787,-0.794046238,,FigureS2d,202,135,,Figure S2e,0.001876822,0.15131908529122054,0.12229408401364869,0.23216479660914424,0.2862864082230928,,Figure S2f,0.001876822,0.15131908529122054,0.12229408401364869,-1.346452469,-0.582736019
Figure S2a,172,182,,Figure S2b,0.002586746,0.170482674,0.272499132,0.367983554,0.212213695,,FigureS2c,0.002586746,0.170482674,0.272499132,-1.670100367,-0.78052809,,FigureS2d,172,182,,Figure S2e,0.001952854,0.16190837690308119,0.13171039729769102,0.24857757621349894,0.3009343753151298,,Figure S2f,0.001952854,0.16190837690308119,0.13171039729769102,-1.322002298,-0.635018624
