Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Crosstalk into Red Channel,Real Red Channel,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V,,Figure,Time (s),V,R,ccpCF V-R,ccpCF R-V
Figure S2a,157,165,,Figure S2b,0.007804953,0.873214357,0.826729644,0.942038321,0.838540446,,FigureS2c,0.007804953,0.873214357,0.826729644,-1.119142786,-0.677752832,,FigureS2d,157,165,,Figure S2e,0.005270362,0.6626539815240053,0.6397710552777802,0.7945452514316637,0.8071979637439685,,Figure S2f,0.005270362,0.6626539815240053,0.6397710552777802,-1.075749197,-1.031403356
Figure S2a,143,183,,Figure S2b,0.00815746,0.888171194,0.841747727,0.953011907,0.855882369,,FigureS2c,0.00815746,0.888171194,0.841747727,-1.102533592,-0.675599815,,FigureS2d,143,183,,Figure S2e,0.005483872,0.6885510335906471,0.666744269,0.8149583095595765,0.8260016631164092,,Figure S2f,0.005483872,0.6885510335906471,0.666744269,-1.06608493,-1.033164448
Figure S2a,153,165,,Figure S2b,0.008525888,0.901533832,0.855754294,0.962816406,0.872384653,,FigureS2c,0.008525888,0.901533832,0.855754294,-1.088852832,-0.67324393,,FigureS2d,153,165,,Figure S2e,0.005706031,0.7140058493683059,0.6933612710038078,0.8345555561418999,0.8440352478610968,,Figure S2f,0.005706031,0.7140058493683059,0.6933612710038078,-1.056152469,-1.03552978
Figure S2a,177,160,,Figure S2b,0.008910956,0.913420276,0.868815769,0.97146345,0.888032279,,FigureS2c,0.008910956,0.913420276,0.868815769,-1.078021403,-0.670636409,,FigureS2d,177,160,,Figure S2e,0.00593719,0.738862993,0.7194705409840918,0.8532793272359316,0.8612432532142884,,Figure S2f,0.00593719,0.738862993,0.7194705409840918,-1.046082456,-1.038534411
Figure S2a,201,178,,Figure S2b,0.009313415,0.923965317,0.88101497,0.978961667,0.902810288,,FigureS2c,0.009313415,0.923965317,0.88101497,-1.07009004,-0.667769045,,FigureS2d,201,178,,Figure S2e,0.006177713,0.7629791142148088,0.7449312115421183,0.8710527560027365,0.8775741465347505,,Figure S2f,0.006177713,0.7629791142148088,0.7449312115421183,-1.035948095,-1.042067916
Figure S2a,152,207,,Figure S2b,0.009734051,0.933316066,0.892437993,0.985316019,0.916691906,,FigureS2c,0.009734051,0.933316066,0.892437993,-1.065064076,-0.664606059,,FigureS2d,152,207,,Figure S2e,0.006427981,0.7862147319679283,0.7696012245338317,0.8878285998489436,0.8929794833229049,,Figure S2f,0.006427981,0.7862147319679283,0.7696012245338317,-1.02589103,-1.046034136
Figure S2a,168,199,,Figure S2b,0.010173685,0.941625562,0.903172884,0.990528171,0.929649707,,FigureS2c,0.010173685,0.941625562,0.903172884,-1.062882382,-0.661130952,,FigureS2d,168,199,,Figure S2e,0.006688387,0.8084486790321664,0.7933546776410892,0.9035475183819464,0.9074189228348088,,Figure S2f,0.006688387,0.8084486790321664,0.7933546776410892,-1.016005226,-1.050273954
Figure S2a,108,206,,Figure S2b,0.010633175,0.949047015,0.913304479,0.99460735,0.94166119,,FigureS2c,0.010633175,0.949047015,0.913304479,-1.063449811,-0.657249408,,FigureS2d,108,206,,Figure S2e,0.006959343,0.8295725114237403,0.8160742813758853,0.9181714348541237,0.9208631052322771,,Figure S2f,0.006959343,0.8295725114237403,0.8160742813758853,-1.006394234,-1.054718722
Figure S2a,157,143,,Figure S2b,0.011113417,0.955727348,0.922905699,0.997549049,0.952682839,,FigureS2c,0.011113417,0.955727348,0.922905699,-1.066637868,-0.652948972,,FigureS2d,157,143,,Figure S2e,0.007241275,0.8494881561698654,0.837648741,0.9316551633090961,0.933277886,,Figure S2f,0.007241275,0.8494881561698654,0.837648741,-0.997148405,-1.059101569
Figure S2a,154,158,,Figure S2b,0.01161535,0.961800154,0.93203851,0.999343713,0.962673964,,FigureS2c,0.01161535,0.961800154,0.93203851,-1.072228573,-0.648151885,,FigureS2d,154,158,,Figure S2e,0.007534629,0.8681279809808992,0.8579981207810766,0.9439709188073284,0.9446499618127931,,Figure S2f,0.007534629,0.8681279809808992,0.8579981207810766,-0.988349806,-1.063255834
Figure S2a,169,128,,Figure S2b,0.012139951,0.967376795,0.940753968,1,0.971597215,,FigureS2c,0.012139951,0.967376795,0.940753968,-1.080113409,-0.642808327,,FigureS2d,169,128,,Figure S2e,0.007839867,0.8854346342276028,0.8770456122808125,0.9550949163796116,0.9549643246419657,,Figure S2f,0.007839867,0.8854346342276028,0.8770456122808125,-0.980079995,-1.067025903
Figure S2a,186,129,,Figure S2b,0.012688247,0.972541278,0.949074101,0.999511622,0.979406746,,FigureS2c,0.012688247,0.972541278,0.949074101,-1.090083599,-0.636851046,,FigureS2d,186,129,,Figure S2e,0.008157471,0.9013758280860056,0.894735809,0.9650056806168374,0.9642104245053909,,Figure S2f,0.008157471,0.9013758280860056,0.894735809,-0.972369459,-1.07020035
Figure S2a,155,152,,Figure S2b,0.013261305,0.977351566,0.957001808,0.997866283,0.986048761,,FigureS2c,0.013261305,0.977351566,0.957001808,-1.101913651,-0.630237341,,FigureS2d,155,152,,Figure S2e,0.008487941,0.915942504,0.9110341778036418,0.9736853439326166,0.9723801316727203,,Figure S2f,0.008487941,0.915942504,0.9110341778036418,-0.965267369,-1.072509693
Figure S2a,163,140,,Figure S2b,0.013860246,0.981835138,0.964518248,0.995055533,0.991471306,,FigureS2c,0.013860246,0.981835138,0.964518248,-1.11529264,-0.622915855,,FigureS2d,163,140,,Figure S2e,0.008831799,0.9291322075660817,0.925904514,0.9811267336388638,0.9794724730196898,,Figure S2f,0.008831799,0.9291322075660817,0.925904514,-0.958797779,-1.073678133
Figure S2a,166,148,,Figure S2b,0.014486237,0.985984063,0.971571644,0.991075934,0.995626836,,FigureS2c,0.014486237,0.985984063,0.971571644,-1.130021925,-0.614816648,,FigureS2d,166,148,,Figure S2e,0.009189587,0.9409757091920212,0.9393439487398668,0.9873290329281647,0.9854952143827909,,Figure S2f,0.009189587,0.9409757091920212,0.9393439487398668,-0.952949097,-1.073480555
Figure S2a,172,168,,Figure S2b,0.015140501,0.989761676,0.978093792,0.985918863,0.998466353,,FigureS2c,0.015140501,0.989761676,0.978093792,-1.14575848,-0.605880448,,FigureS2d,172,168,,Figure S2e,0.009561869,0.9515200072059015,0.9513605347317065,0.992295119,0.9904606656628077,,Figure S2f,0.009561869,0.9515200072059015,0.9513605347317065,-0.947700085,-1.071768552
Figure S2a,154,152,,Figure S2b,0.015824315,0.993103888,0.984000982,0.979581048,0.999938985,,FigureS2c,0.015824315,0.993103888,0.984000982,-1.162122759,-0.596088597,,FigureS2d,154,152,,Figure S2e,0.009949234,0.9608088242311283,0.9619604208830586,0.9960319985506819,0.9943775541566667,,Figure S2f,0.009949234,0.9608088242311283,0.9619604208830586,-0.942974557,-1.068266302
Figure S2a,133,166,,Figure S2b,0.016539013,0.995920255,0.989182228,0.972069044,1,,FigureS2c,0.016539013,0.995920255,0.989182228,-1.178811698,-0.585400254,,FigureS2d,133,166,,Figure S2e,0.010352290652517205,0.968913068,0.9711752067664969,0.9985507701356917,0.99725992,,Figure S2f,0.010352290652517205,0.968913068,0.9711752067664969,-0.938781018,-1.062763239
Figure S2a,133,118,,Figure S2b,0.01728599,0.998095192,0.993508853,0.963381462,0.99861288,,FigureS2c,0.01728599,0.998095192,0.993508853,-1.195480584,-0.573800673,,FigureS2d,133,118,,Figure S2e,0.010771676,0.9759087380955583,0.9790417688829534,0.9998681816284279,0.9991293872569402,,Figure S2f,0.010771676,0.9759087380955583,0.9790417688829534,-0.935024388,-1.055086224
Figure S2a,145,130,,Figure S2b,0.018066703,0.999501242,0.996846449,0.953531143,0.995745158,,FigureS2c,0.018066703,0.999501242,0.996846449,-1.211758026,-0.561309106,,FigureS2d,145,130,,Figure S2e,0.011208051141663213,0.9818655868631969,0.9855920484589753,1,1,,Figure S2f,0.011208051141663213,0.9818655868631969,0.9855920484589753,-0.931624422,-1.045079776
Figure S2a,147,122,,Figure S2b,0.018882677,1,0.999058731,0.942538728,0.991375961,,FigureS2c,0.018882677,1,0.999058731,-1.227232216,-0.547951532,,FigureS2d,147,122,,Figure S2e,0.011662104468939517,0.9868513428739223,0.990861238,0.9989695117803609,0.9998946359913826,,Figure S2f,0.011662104468939517,0.9868513428739223,0.990861238,-0.92849374,-1.032606311
Figure S2a,122,148,,Figure S2b,0.019735505,0.999445912,1,0.930426169,0.985483536,,FigureS2c,0.019735505,0.999445912,1,-1.241586213,-0.533750074,,FigureS2d,122,148,,Figure S2e,0.012134552111284952,0.9909457929059865,0.9948989045484096,0.9968018892453062,0.9988353479032742,,Figure S2f,0.012134552111284952,0.9909457929059865,0.9948989045484096,-0.925525196,-1.0176338
Figure S2a,113,180,,Figure S2b,0.020626849,0.997696113,0.999534363,0.917228125,0.978073314,,FigureS2c,0.020626849,0.997696113,0.999534363,-1.254376315,-0.518773053,,FigureS2d,113,180,,Figure S2e,0.012626139247308583,0.994217443,0.997745852,0.9935257396833387,0.9968459140813801,,Figure S2f,0.012626139247308583,0.994217443,0.997745852,-0.922613251,-1.000049748
Figure S2a,166,166,,Figure S2b,0.021558451,0.994624864,0.997535596,0.902976957,0.969149868,,FigureS2c,0.021558451,0.994624864,0.997535596,-1.265309674,-0.503079214,,FigureS2d,166,166,,Figure S2e,0.013137641243813896,0.9967177662705716,0.9994354712179375,0.9891739415027467,0.9939559561613917,,Figure S2f,0.013137641243813896,0.9967177662705716,0.9994354712179375,-0.919717632,-0.979794717
Figure S2a,172,149,,Figure S2b,0.022532129,0.9901164,0.993891201,0.887724816,0.958722604,,FigureS2c,0.022532129,0.9901164,0.993891201,-1.273974599,-0.486800723,,FigureS2d,172,149,,Figure S2e,0.013669864878763415,0.9984909375936706,1,0.9837816944819451,0.9901875987399851,,Figure S2f,0.013669864878763415,0.9984909375936706,1,-0.916722612,-0.956861649
Figure S2a,205,163,,Figure S2b,0.023549782,0.98406604,0.988501407,0.871532187,0.946822753,,FigureS2c,0.023549782,0.98406604,0.988501407,-1.280065065,-0.470039198,,FigureS2d,205,163,,Figure S2e,0.014223649613787291,0.9995770216738752,0.9994737902863263,0.9773858625770917,0.9855671927064993,,Figure S2f,0.014223649613787291,0.9995770216738752,0.9994737902863263,-0.913549287,-0.931285393
Figure S2a,146,184,,Figure S2b,0.024613397,0.976410263,0.98130655,0.854460409,0.933487599,,FigureS2c,0.024613397,0.976410263,0.98130655,-1.283272196,-0.452953236,,FigureS2d,146,184,,Figure S2e,0.014799868918242932,1,0.9978859264433126,0.9700259152720184,0.9801257181637895,,Figure S2f,0.014799868918242932,1,0.9978859264433126,-0.910118392,-0.903154786
Figure S2a,193,134,,Figure S2b,0.025725049,0.967099538,0.972251699,0.836575073,0.918765791,,FigureS2c,0.025725049,0.967099538,0.972251699,-1.283313459,-0.435696878,,FigureS2d,193,134,,Figure S2e,0.015399432,0.9997762903412309,0.9952586052392597,0.9617441098293754,0.9738926518996213,,Figure S2f,0.015399432,0.9997762903412309,0.9952586052392597,-0.906390809,-0.872559489
Figure S2a,148,156,,Figure S2b,0.026886909,0.956115125,0.961319191,0.817953925,0.902714947,,FigureS2c,0.026886909,0.956115125,0.961319191,-1.279972157,-0.418474762,,FigureS2d,148,156,,Figure S2e,0.016023283473522335,0.9989071552767966,0.9916105057177393,0.9525831650079026,0.9668967241137286,,Figure S2f,0.016023283473522335,0.9989071552767966,0.9916105057177393,-0.902329915,-0.839589555
Figure S2a,138,139,,Figure S2b,0.028101244,0.943473646,0.948523826,0.798682183,0.885408471,,FigureS2c,0.028101244,0.943473646,0.948523826,-1.273023866,-0.401444204,,FigureS2d,138,139,,Figure S2e,0.016672408382312195,0.9973898662089347,0.9869643102108921,0.9425887498537415,0.9591705373703693,,Figure S2f,0.016672408382312195,0.9973898662089347,0.9869643102108921,-0.897890676,-0.804399316
Figure S2a,195,158,,Figure S2b,0.029370423,0.929202559,0.933879302,0.778842272,0.866922816,,FigureS2c,0.029370423,0.929202559,0.933879302,-1.262287681,-0.38482395,,FigureS2d,195,158,,Figure S2e,0.01734783,0.9952100804514856,0.9813382417129777,0.9318099065708737,0.9507458277110111,,Figure S2f,0.01734783,0.9952100804514856,0.9813382417129777,-0.893106839,-0.767204069
Figure S2a,206,149,,Figure S2b,0.030696924,0.913383444,0.917469101,0.758521105,0.847344087,,FigureS2c,0.030696924,0.913383444,0.917469101,-1.247694593,-0.368806641,,FigureS2d,206,149,,Figure S2e,0.018050614310970135,0.9923514920075012,0.9747513483191009,0.9202924822938452,0.9416539875514052,,Figure S2f,0.018050614310970135,0.9923514920075012,0.9747513483191009,-0.887985179,-0.728189526
Figure S2a,190,170,,Figure S2b,0.032083337,0.896091114,0.899355972,0.737814882,0.826769836,,FigureS2c,0.032083337,0.896091114,0.899355972,-1.229198424,-0.353659839,,FigureS2d,190,170,,Figure S2e,0.018781869136959537,0.9887974738540257,0.9672236304756897,0.9080859668752669,0.9319250394653472,,Figure S2f,0.018781869136959537,0.9887974738540257,0.9672236304756897,-0.882536629,-0.687630416
Figure S2a,184,145,,Figure S2b,0.033532366,0.877459838,0.879664511,0.71681124,0.805295566,,FigureS2c,0.033532366,0.877459838,0.879664511,-1.206647752,-0.339577948,,FigureS2d,184,145,,Figure S2e,0.019542748086057472,0.9845296673246985,0.9587784386408557,0.895240544,0.9215932569432688,,Figure S2f,0.019542748086057472,0.9845296673246985,0.9587784386408557,-0.876836231,-0.645819779
Figure S2a,164,121,,Figure S2b,0.035046839,0.857600316,0.858504402,0.695596609,0.78302137,,FigureS2c,0.035046839,0.857600316,0.858504402,-1.180210576,-0.326806514,,FigureS2d,164,121,,Figure S2e,0.020334451271601665,0.9795263753672071,0.949440611,0.881813426,0.9107039761636108,,Figure S2f,0.020334451271601665,0.9795263753672071,0.949440611,-0.870990531,-0.603082375
Figure S2a,132,158,,Figure S2b,0.036629713,0.836679024,0.836034984,0.674266792,0.760060984,,FigureS2c,0.036629713,0.836679024,0.836034984,-1.149920927,-0.315580546,,FigureS2d,132,158,,Figure S2e,0.021158227425146097,0.973762223,0.9392318530368099,0.8678560448870284,0.8992829701856291,,Figure S2f,0.021158227425146097,0.973762223,0.9392318530368099,-0.865050363,-0.559745427
Figure S2a,151,151,,Figure S2b,0.038284077,0.814841027,0.812398204,0.652904523,0.736518132,,FigureS2c,0.038284077,0.814841027,0.812398204,-1.115951142,-0.30608317,,FigureS2d,151,151,,Figure S2e,0.022015376,0.9672282694419643,0.9281883727084906,0.8534171704359195,0.8873728642145914,,Figure S2f,0.022015376,0.9672282694419643,0.9281883727084906,-0.859192229,-0.516179382
Figure S2a,175,182,,Figure S2b,0.040013159,0.792240704,0.787753687,0.631594482,0.712508081,,FigureS2c,0.040013159,0.792240704,0.787753687,-1.078477421,-0.298515831,,FigureS2d,175,182,,Figure S2e,0.022907249,0.9599164536887297,0.916350133,0.8385464912840302,0.875006366,,Figure S2f,0.022907249,0.9599164536887297,0.916350133,-0.853505117,-0.47276345
Figure S2a,157,185,,Figure S2b,0.041820335,0.769062721,0.762288396,0.610402211,0.688121503,,FigureS2c,0.041820335,0.769062721,0.762288396,-1.037778078,-0.293051592,,FigureS2d,157,185,,Figure S2e,0.023835252205717083,0.9518298419582655,0.9037599955844638,0.8232995193491369,0.8622217677623004,,Figure S2f,0.023835252205717083,0.9518298419582655,0.9037599955844638,-0.8480041,-0.42974968
Figure S2a,178,219,,Figure S2b,0.043709131,0.745449823,0.73615321,0.589412231,0.663474774,,FigureS2c,0.043709131,0.745449823,0.73615321,-0.994127469,-0.289853927,,FigureS2d,178,219,,Figure S2e,0.024800850545132737,0.9429766119279555,0.8904677847841722,0.8077243924470658,0.8490560444523444,,Figure S2f,0.024800850545132737,0.9429766119279555,0.8904677847841722,-0.842917899,-0.387592383
Figure S2a,167,217,,Figure S2b,0.045683233,0.721578289,0.709537802,0.568674227,0.638654772,,FigureS2c,0.045683233,0.721578289,0.709537802,-0.947883483,-0.289068864,,FigureS2d,167,217,,Figure S2e,0.025805566580683302,0.9333669228105043,0.8765212482558583,0.7918709876294179,0.835546052,,Figure S2f,0.025805566580683302,0.9333669228105043,0.8765212482558583,-0.838420703,-0.346718954
Figure S2a,165,199,,Figure S2b,0.047746495,0.697616106,0.68262606,0.548256903,0.613769884,,FigureS2c,0.047746495,0.697616106,0.68262606,-0.899455989,-0.290788581,,FigureS2d,165,199,,Figure S2e,0.026850985,0.9230351395126813,0.8619914145194724,0.775789482,0.8217281290506432,,Figure S2f,0.026850985,0.9230351395126813,0.8619914145194724,-0.834616649,-0.307530513
Figure S2a,168,169,,Figure S2b,0.049902943,0.673691975,0.655569584,0.528198756,0.588902371,,FigureS2c,0.049902943,0.673691975,0.655569584,-0.849329092,-0.295099354,,FigureS2d,168,169,,Figure S2e,0.027938754782311497,0.9119995157441557,0.8469300387613806,0.7595194178664055,0.8076313820452053,,Figure S2f,0.027938754782311497,0.9119995157441557,0.8469300387613806,-0.831654404,-0.270344847
Figure S2a,170,179,,Figure S2b,0.052156786,0.649919601,0.628512669,0.508553428,0.564137867,,FigureS2c,0.052156786,0.649919601,0.628512669,-0.797926744,-0.302090809,,FigureS2d,170,179,,Figure S2e,0.029070591567183876,0.9003120699755033,0.8314199616962508,0.7431038164349588,0.7932863942813777,,Figure S2f,0.029070591567183876,0.9003120699755033,0.8314199616962508,-0.829665586,-0.235613257
Figure S2a,184,189,,Figure S2b,0.054512423,0.626446659,0.601629327,0.489342396,0.539545244,,FigureS2c,0.054512423,0.626446659,0.601629327,-0.745677245,-0.311758293,,FigureS2d,184,189,,Figure S2e,0.030248280592700898,0.8880059412245933,0.8155230549393021,0.7265857833537416,0.7787266451263041,,Figure S2f,0.030248280592700898,0.8880059412245933,0.8155230549393021,-0.828780575,-0.203834489
Figure S2a,155,184,,Figure S2b,0.056974451,0.603379151,0.575064777,0.470586223,0.515180417,,FigureS2c,0.056974451,0.603379151,0.575064777,-0.693226275,-0.324124251,,FigureS2d,155,184,,Figure S2e,0.031473679,0.8751447303197757,0.7993287907530474,0.7099989626855087,0.7639793130999486,,Figure S2f,0.031473679,0.8751447303197757,0.7993287907530474,-0.829107662,-0.175212683
Figure S2a,189,179,,Figure S2b,0.059547675,0.580809417,0.548949405,0.452317768,0.491113705,,FigureS2c,0.059547675,0.580809417,0.548949405,-0.641150506,-0.339151564,,FigureS2d,189,179,,Figure S2e,0.032748721,0.861771256,0.7829098723164288,0.6933749857326026,0.7490631159374398,,Figure S2f,0.032748721,0.861771256,0.7829098723164288,-0.830702348,-0.1502289
Figure S2a,184,155,,Figure S2b,0.062237118,0.558833478,0.523417706,0.434546128,0.467384488,,FigureS2c,0.062237118,0.558833478,0.523417706,-0.589887673,-0.35680077,,FigureS2d,184,155,,Figure S2e,0.034075416,0.847957263,0.7663531397853264,0.676749707,0.7340079613620496,,Figure S2f,0.034075416,0.847957263,0.7663531397853264,-0.833675125,-0.129164516
Figure S2a,204,150,,Figure S2b,0.065048028,0.537489786,0.498556584,0.417285357,0.444052513,,FigureS2c,0.065048028,0.537489786,0.498556584,-0.540004194,-0.376936295,,FigureS2d,204,150,,Figure S2e,0.035455857,0.8337682966684495,0.7497463179907191,0.660148826,0.7188336042779402,,Figure S2f,0.035455857,0.8337682966684495,0.7497463179907191,-0.838060715,-0.112420814
Figure S2a,211,153,,Figure S2b,0.067985892,0.516824476,0.474453615,0.400530754,0.421138579,,FigureS2c,0.067985892,0.516824476,0.474453615,-0.492075143,-0.399386914,,FigureS2d,211,153,,Figure S2e,0.036892222,0.8192563990253516,0.7331608611508941,0.6435924668299923,0.7035513592880271,,Figure S2f,0.036892222,0.8192563990253516,0.7331608611508941,-0.843904876,-0.100194993
Figure S2a,158,153,,Figure S2b,0.071056442,0.496886024,0.451199319,0.384258694,0.398645837,,FigureS2c,0.071056442,0.496886024,0.451199319,-0.446683066,-0.424038449,,FigureS2d,158,153,,Figure S2e,0.038386776,0.8045010512111305,0.7166975806088375,0.6271117755642206,0.6881851472645035,,Figure S2f,0.038386776,0.8045010512111305,0.7166975806088375,-0.851211588,-0.092746345
Figure S2a,145,162,,Figure S2b,0.074265673,0.477700367,0.428859798,0.368481671,0.376618431,,FigureS2c,0.074265673,0.477700367,0.428859798,-0.40427155,-0.450728053,,FigureS2d,145,162,,Figure S2e,0.039941875899378934,0.7895518894708251,0.7004256753461753,0.6107131091517057,0.6727349271608905,,Figure S2f,0.039941875899378934,0.7895518894708251,0.7004256753461753,-0.859970267,-0.090322309
Figure S2a,178,149,,Figure S2b,0.077619848,0.459280053,0.407485464,0.353187428,0.355056672,,FigureS2c,0.077619848,0.459280053,0.407485464,-0.365402677,-0.479183182,,FigureS2d,178,149,,Figure S2e,0.041559975,0.7744592080503991,0.6844013550487382,0.5944196369508012,0.6572177624233916,,Figure S2f,0.041559975,0.7744592080503991,0.6844013550487382,-0.870140885,-0.093175516
Figure S2a,105,132,,Figure S2b,0.081125512,0.441632154,0.387113257,0.338359415,0.333970455,,FigureS2c,0.081125512,0.441632154,0.387113257,-0.330585358,-0.50925067,,FigureS2d,105,132,,Figure S2e,0.043243626,0.759287575,0.6687135632461247,0.5782379912934338,0.6416408238448413,,Figure S2f,0.043243626,0.759287575,0.6687135632461247,-0.881672711,-0.101295879
Figure S2a,128,145,,Figure S2b,0.084789507,0.424716061,0.367743527,0.323991427,0.313357893,,FigureS2c,0.084789507,0.424716061,0.367743527,-0.300127665,-0.540653434,,FigureS2d,128,145,,Figure S2e,0.044995484,0.7440991411622229,0.6534341516978005,0.5621825190680309,0.6260110209588245,,Figure S2f,0.044995484,0.7440991411622229,0.6534341516978005,-0.894486423,-0.11480314
Figure S2a,152,152,,Figure S2b,0.088618986,0.408506255,0.349367972,0.310046049,0.293194663,,FigureS2c,0.088618986,0.408506255,0.349367972,-0.274485098,-0.573125243,,FigureS2d,152,152,,Figure S2e,0.046818312081069624,0.7289168826332884,0.6386020662946272,0.5462593210716317,0.6103327370324881,,Figure S2f,0.046818312081069624,0.7289168826332884,0.6386020662946272,-0.908496401,-0.133754466
Figure S2a,152,126,,Figure S2b,0.092621421,0.392993513,0.331996151,0.296496767,0.273470003,,FigureS2c,0.092621421,0.392993513,0.331996151,-0.2540085,-0.606410513,,FigureS2d,152,126,,Figure S2e,0.048714985,0.713762409,0.624243499,0.5304728720139044,0.5946092682835303,,Figure S2f,0.048714985,0.713762409,0.624243499,-0.923556132,-0.158139339
Figure S2a,131,115,,Figure S2b,0.096804624,0.378098894,0.315568492,0.283338299,0.254183938,,FigureS2c,0.096804624,0.378098894,0.315568492,-0.238924617,-0.640185017,,FigureS2d,131,115,,Figure S2e,0.050688495308367706,0.6986792329281827,0.6104100825045856,0.5148235055766224,0.5788423039388391,,Figure S2f,0.050688495308367706,0.6986792329281827,0.6104100825045856,-0.939534134,-0.187782627
Figure S2a,109,128,,Figure S2b,0.101176759,0.363803598,0.300059879,0.270556964,0.235319405,,FigureS2c,0.101176759,0.363803598,0.300059879,-0.229552535,-0.674222167,,FigureS2d,109,128,,Figure S2e,0.052741954884746686,0.6836937274158236,0.597128022,0.4993034506020583,0.5630277882234751,,Figure S2f,0.052741954884746686,0.6836937274158236,0.597128022,-0.956273098,-0.222561282
Figure S2a,109,139,,Figure S2b,0.10574636,0.350027653,0.2853889,0.258136668,0.216865862,,FigureS2c,0.10574636,0.350027653,0.2853889,-0.226047228,-0.708262683,,FigureS2d,109,139,,Figure S2e,0.054878602888917216,0.6688148170358439,0.5844067112486254,0.4839162946778059,0.5471710079598823,,Figure S2f,0.054878602888917216,0.6688148170358439,0.5844067112486254,-0.973645438,-0.262393227
Figure S2a,116,168,,Figure S2b,0.110522345,0.336736828,0.271499869,0.246058012,0.198799562,,FigureS2c,0.110522345,0.336736828,0.271499869,-0.228645462,-0.74202566,,FigureS2d,116,168,,Figure S2e,0.057101809396724976,0.6540533423150539,0.5722473467155195,0.4686798300029223,0.5312940897224259,,Figure S2f,0.057101809396724976,0.6540533423150539,0.5722473467155195,-0.991450223,-0.306803446
Figure S2a,137,160,,Figure S2b,0.115514034,0.323844565,0.25829051,0.234287998,0.181094671,,FigureS2c,0.115514034,0.323844565,0.25829051,-0.237366213,-0.775232412,,FigureS2d,137,160,,Figure S2e,0.059415081,0.6394065199497463,0.5606381807531229,0.4535705060309659,0.5153882460298779,,Figure S2f,0.059415081,0.6394065199497463,0.5606381807531229,-1.009538773,-0.35558377
Figure S2a,139,175,,Figure S2b,0.120731172,0.311275921,0.245669505,0.222832906,0.163750795,,FigureS2c,0.120731172,0.311275921,0.245669505,-0.252113069,-0.807650938,,FigureS2d,139,175,,Figure S2e,0.061822066389179295,0.624870361,0.5495613306449043,0.4385694419449582,0.4994483638815012,,Figure S2f,0.061822066389179295,0.624870361,0.5495613306449043,-1.027701124,-0.408362258
Figure S2a,161,147,,Figure S2b,0.126183938,0.2989536,0.233537578,0.211659949,0.146748821,,FigureS2c,0.126183938,0.2989536,0.233537578,-0.272939666,-0.839055202,,FigureS2d,161,147,,Figure S2e,0.064326562,0.6104438953835342,0.5389853672499142,0.4236932650341596,0.48350085942285514,,Figure S2f,0.064326562,0.6104438953835342,0.5389853672499142,-1.045791813,-0.46471704
Figure S2a,159,149,,Figure S2b,0.131882977,0.286841884,0.221816653,0.200778123,0.130096823,,FigureS2c,0.131882977,0.286841884,0.221816653,-0.29970378,-0.869271963,,FigureS2d,159,149,,Figure S2e,0.066932518,0.5961162034331481,0.5288825509796725,0.40893524795055347,0.4675553175850668,,Figure S2f,0.066932518,0.5961162034331481,0.5288825509796725,-1.063669163,-0.524129528
Figure S2a,165,187,,Figure S2b,0.137839409,0.274880768,0.210406759,0.190155188,0.113770506,,FigureS2c,0.137839409,0.274880768,0.210406759,-0.332332013,-0.898075628,,FigureS2d,165,187,,Figure S2e,0.069644045,0.5818858295686056,0.5192133475105953,0.3942904928844746,0.45162525711289614,,Figure S2f,0.069644045,0.5818858295686056,0.5192133475105953,-1.081103864,-0.586014754
Figure S2a,153,222,,Figure S2b,0.144064862,0.262982077,0.199201258,0.179809035,0.097796514,,FigureS2c,0.144064862,0.262982077,0.199201258,-0.370476863,-0.925325688,,FigureS2d,153,222,,Figure S2e,0.07246542,0.5677223786105912,0.5099132812277755,0.3797582791560783,0.43572877644860186,,Figure S2f,0.07246542,0.5677223786105912,0.5099132812277755,-1.097965614,-0.649888434
Figure S2a,172,156,,Figure S2b,0.150571483,0.25108472,0.188109611,0.169717073,0.082162197,,FigureS2c,0.150571483,0.25108472,0.188109611,-0.413921962,-0.950897627,,FigureS2d,172,156,,Figure S2e,0.075401092,0.5536041810221985,0.5009196993479664,0.36533150718447205,0.4198820310000265,,Figure S2f,0.075401092,0.5536041810221985,0.5009196993479664,-1.114139644,-0.715171261
Figure S2a,144,140,,Figure S2b,0.157371974,0.239161922,0.177072398,0.159877965,0.066877374,,FigureS2c,0.157371974,0.239161922,0.177072398,-0.462382383,-0.974675167,,FigureS2d,144,140,,Figure S2e,0.078455692,0.5395377323576461,0.4921955467833961,0.3510122178882107,0.4041088705287583,,Figure S2f,0.078455692,0.5395377323576461,0.4921955467833961,-1.129510798,-0.781226413
Figure S2a,150,143,,Figure S2b,0.164479605,0.22716803,0.166031923,0.150267469,0.051943734,,FigureS2c,0.164479605,0.22716803,0.166031923,-0.515393306,-0.996573029,,FigureS2d,150,143,,Figure S2e,0.081634039,0.5255147074274361,0.4836844844837079,0.3367968181435916,0.3884312668355873,,Figure S2f,0.081634039,0.5255147074274361,0.4836844844837079,-1.143970741,-0.84751664
