Time (s),RBM10,NS5,ccpCF V-R,ccpCF R-V
0.001672404443684158,-0.7851525295955193,-0.00040189273371467576,0.00027547454537692705,0.00044683941944847604
0.0017292073687749287,-0.7333051829244097,-0.00042540064120277993,0.0001422181833546148,0.0003938276168464484
0.00178793959530415,-0.682643220981717,-0.0004485090766887305,2.3060470160484044e-05,0.00034006518418833447
0.001848666651658507,-0.6331920014104625,-0.0004711600531029815,-8.258531565932494e-05,0.0002857667733903928
0.001911456291884911,-0.5849768818536676,-0.0004932955833759869,-0.0001753058955586717,0.000231147036368882
0.001976378571284646,-0.5380232199543535,-0.0005148576804382007,-0.0002556879909914159,0.0001764206250400606
0.0020435059245750868,-0.4923563733555417,-0.0005357883572200767,-0.0003243183234114171,0.0001218021913201873
0.0021129132467061365,-0.4480016997002534,-0.000556029626652069,-0.00038178361427253487,6.750638712552055e-05
0.0021846779764216093,-0.40498455663150995,-0.0005755235016646316,-0.0004286705850286291,1.374786437231899e-05
0.0022588801826587328,-0.3633303017923328,-0.0005942119951882184,-0.0004655659571335591,-3.9258725023158774e-05
0.0023356026538822227,-0.3230642928257431,-0.0006120371201532833,-0.0004930564520411845,-9.129872914465423e-05
0.0024149309904525464,-0.2842118873747623,-0.0006289408894902804,-0.0005117287912053651,-0.0001421574960759086
0.002496953700131476,-0.2467984430824116,-0.0006448653161296636,-0.0005221696960799606,-0.00019162037390066356
0.0025817622968314718,-0.2108493175917126,-0.0006597524130018868,-0.0005249658881188304,-0.00023947271070266047
0.0026694514027190636,-0.1763898685456865,-0.0006735441930374041,-0.0005207040887758341,-0.0002854998545656406
0.0027601188537861488,-0.1434454535873545,-0.0006861826691666694,-0.0005099710195048315,-0.0003294871535733454
0.002853865809007016,-0.11204143035973801,-0.0006976098543201366,-0.000493353401759682,-0.0003712199558095165
0.002950796863202871,-0.08220315650585852,-0.0007077677614282598,-0.00047143795699424536,-0.000410483609357895
0.003051020163739768,-0.0539559896687371,-0.0007165984034214929,-0.00044481140666238143,-0.0004470634623022226
0.003154647531190172,-0.027325287491395234,-0.0007240437932302899,-0.00041406047221794937,-0.00048074486272624056
0.0032617945840927786,-0.00233640761685433,-0.0007300459437851047,-0.0003797718751148085,-0.0005113131587136903
0.0033725808679497837,0.020985292311864412,-0.0007345468680163912,-0.00034253233680681973,-0.0005385536983483134
0.003487129988605491,0.04261445465173985,-0.0007374885788546035,-0.0003029285787478415,-0.000562251829713851
0.003605569750155152,0.06252572175975002,-0.0007388130892301956,-0.00026154732239173396,-0.0005821929008940447
0.003728032297537794,0.08069373599287422,-0.0007384624120736212,-0.00021897528919235664,-0.0005981622599726358
0.003854654263972256,0.09709313970809075,-0.0007329983052884266,-0.0001746927524038379,-0.0006097739182692019
0.003985576923400794,0.11169857526237847,-0.0007288504567307347,-0.00015221322115383898,-0.0006056232812499715
0.004120946348110481,0.12448468501271603,-0.0007247451442307348,-0.00012984109374999383,-0.0005921928124999719
0.004260913571708108,0.13542611131608207,-0.0007200565384615043,-0.00010752555288461038,-0.0005698687980768963
