Entry,Condition,Exit,Condition
0.005133143,RBM10+POLYI:C,0.173400879,RBM10+POLYI:C
0.011947133,RBM10+POLYI:C,0.19,RBM10+POLYI:C
0.028,RBM10+POLYI:C,0.004955605,RBM10+POLYI:C
0.012,RBM10+POLYI:C,0.007046338,RBM10+POLYI:C
0.026844623,RBM10+POLYI:C,0.020982176,RBM10+POLYI:C
0.09,RBM10+POLYI:C,0.023319036,RBM10+POLYI:C
0.0255,RBM10+POLYI:C,0.08,RBM10+POLYI:C
0.06,RBM10+POLYI:C,0.07,RBM10+POLYI:C
0.3,RBM10+POLYI:C,0.013277726,RBM10+POLYI:C
0.035,RBM10+POLYI:C,0.013277726,RBM10+POLYI:C
0.02,RBM10+POLYI:C,0.1,RBM10+POLYI:C
0.2,RBM10+POLYI:C,0.056,RBM10+POLYI:C
0.04,RBM10+POLYI:C,0.065,RBM10+POLYI:C
0.07,RBM10+POLYI:C,0.018,RBM10+POLYI:C
0.18,RBM10+POLYI:C,0.039,RBM10+POLYI:C
0.23,RBM10+POLYI:C,0.03,RBM10+POLYI:C
0.057,RBM10+POLYI:C,0.26,RBM10+POLYI:C
0.048,RBM10+POLYI:C,0.3,RBM10+POLYI:C
0.055,RBM10+POLYI:C,0.01,RBM10+POLYI:C
0.065,RBM10+POLYI:C,0.13,RBM10+POLYI:C
0.034634616,RBM10+POLYI:C,0.04,RBM10+POLYI:C
0.034634616,RBM10+POLYI:C,0.017,RBM10+POLYI:C
0.036037711,RBM10+POLYI:C,0.02,RBM10+POLYI:C
0.036037711,RBM10+POLYI:C,0.1,RBM10+POLYI:C
0.036037711,RBM10+POLYI:C,0.11,RBM10+POLYI:C
0.034634616,RBM10+POLYI:C,0.11,RBM10+POLYI:C
0.030744675,RBM10+POLYI:C,0.1,RBM10+POLYI:C
0.029547659,RBM10+POLYI:C,0.054,RBM10+POLYI:C
0.028397248,RBM10+POLYI:C,0.014457069,RBM10+POLYI:C
0.012,RBM10+POLYI:C,0.014457069,RBM10+POLYI:C
0.013,RBM10+POLYI:C,0.014457069,RBM10+POLYI:C
0.012673791,RBM10+POLYI:C,0.04,RBM10+POLYI:C
0.015847597,RBM10+POLYI:C,0.1426,RBM10+POLYI:C
0.014172126,RBM10+POLYI:C,0.13,RBM10+POLYI:C
0.019816196,RBM10+POLYI:C,0.045,RBM10+POLYI:C
0.022999843,RBM10+POLYI:C,0.013,RBM10+POLYI:C
0.008105743,RBM10+POLYI:C,0.014,RBM10+POLYI:C
0.022158927,RBM10+POLYI:C,0.0137,RBM10+POLYI:C
0.0175,RBM10+POLYI:C,0.006983743,RBM10+POLYI:C
0.028,RBM10+POLYI:C,0.012,RBM10+POLYI:C
0.0176,RBM10+POLYI:C,0.006245393,RBM10+POLYI:C
0.025,RBM10+POLYI:C,0.014709948,RBM10+POLYI:C
0.047,RBM10+POLYI:C,0.016449003,RBM10+POLYI:C
0.044,RBM10+POLYI:C,0.009064028,RBM10+POLYI:C
0.041,RBM10+POLYI:C,0.012673791,RBM10+POLYI:C
0.04,RBM10+POLYI:C,0.011333867,RBM10+POLYI:C
0.038,RBM10+POLYI:C,0.02,RBM10+POLYI:C
0.037,RBM10+POLYI:C,0.0139,RBM10+POLYI:C
0.0355,RBM10+POLYI:C,0.0106,RBM10+POLYI:C
0.0347,RBM10+POLYI:C,0.05,RBM10+POLYI:C
0.023,RBM10+POLYI:C,0.028397248,RBM10+POLYI:C
0.02,RBM10+POLYI:C,0.027291628,RBM10+POLYI:C
0.012673791,RBM10+POLYI:C,0.016286236,RBM10+POLYI:C
0.01176398,RBM10+POLYI:C,0.015652147,RBM10+POLYI:C
0.01176398,RBM10+POLYI:C,0.015652147,RBM10+POLYI:C
0.012210415,RBM10+POLYI:C,0.009340394,RBM10+POLYI:C
0.0176,RBM10+POLYI:C,0.009718786,RBM10+POLYI:C
0.0073,RBM10+POLYI:C,0.009718786,RBM10+POLYI:C
0.013,RBM10+POLYI:C,0.010112507,RBM10+POLYI:C
0.0155,RBM10+POLYI:C,0.010112507,RBM10+POLYI:C
0.0208,RBM10+POLYI:C,0.009718786,RBM10+POLYI:C
0.0389,RBM10+POLYI:C,0.012673791,RBM10+POLYI:C
0.018,RBM10+POLYI:C,0.014172126,RBM10+POLYI:C
0.040821575,RBM10+POLYI:C,0.018393654,RBM10+POLYI:C
0.108074533,RBM10+POLYI:C,0.017073231,RBM10+POLYI:C
0.036106778,RBM10+POLYI:C,0.1165,RBM10+POLYI:C
0.02747812,RBM10+POLYI:C,0.012673791,RBM10+POLYI:C
0.023251886,RBM10+POLYI:C,0.015,RBM10+POLYI:C
0.03,RBM10+POLYI:C,0.011,RBM10+POLYI:C
0.026,RBM10+POLYI:C,0.02,RBM10+POLYI:C
,,0.02035,RBM10+POLYI:C
,,0.049072851,RBM10+POLYI:C
,,0.233000019,RBM10+POLYI:C
,,0.013117629,RBM10+POLYI:C
,,0.036,RBM10+POLYI:C
,,0.02,RBM10+POLYI:C
,,0.18,RBM10+POLYI:C
,,0.090645529,RBM10+POLYI:C
,,0.041,RBM10+POLYI:C
